comparison_subset,n_subset,N,period_s,target_model_rms_pct,target_reduced_chi2,target_bic_chi2,control_median_scatter_pct,quality_score_pct,delta_rms_vs_all_pct,delta_period_vs_all_s,delta_control_scatter_vs_all_pct
125;143;144;90;96,5,138,1056.2402669632927,1.4339294534463742,2.54932220225056,363.6961213251105,0.7765424716150555,2.2104719250614298,-0.005832864220968181,1.0678531701894372,-0.12270102699935215
112;125;143;90;96,5,138,1052.5027808676307,1.4247182300115684,2.4826034120169203,354.8225222240364,0.8184836496632508,2.243201879674819,-0.01504408765577403,-2.6696329254725697,-0.08075984895115684
112;125;143;90,4,138,1053.5706340378197,1.395885966684145,2.3833814249672396,341.62599794642887,0.897169998028402,2.293055964712547,-0.04387635098319742,-1.6017797552835873,-0.002073500586005639
112;125;143;144;90,5,138,1056.2402669632927,1.429009162634494,2.5203802598478147,359.8468429855454,0.8704660504448923,2.2994752130793863,-0.01075315503284835,1.0678531701894372,-0.02877744816951533
125;143;90;96,4,138,1053.5706340378197,1.4286789903078438,2.5135994067205654,358.9449895196212,0.8781638551731028,2.3068428454809466,-0.011083327359498574,-1.6017797552835873,-0.021079643441304863
112;143;144;90;96,5,138,1057.842046718576,1.4708186916799177,2.6792541129160314,380.9770654436182,0.8501380598089529,2.3209567514888705,0.031056374012575327,2.669632925472797,-0.049105438805454815
125;144;90;96,4,138,1054.6384872080089,1.4722860549322407,2.687954484369096,382.13421484687575,0.8530693825738238,2.3253554375060643,0.03252373726489832,-0.5339265850943775,-0.04617411604058386
112;143;90;96,4,138,1053.5706340378197,1.4307577811517416,2.5171067908455487,359.41147160824397,0.9064738005762107,2.337231581727952,-0.009004536515600847,-1.6017797552835873,0.007230301961803076
112;125;143;144;90;96,6,138,1055.1724137931033,1.4397623176673424,2.55825325122603,364.88395083884797,0.8992434986144077,2.33900581628175,0.0,0.0,0.0
112;125;90;96,4,138,1050.9010011123469,1.4480731582883206,2.566290307558649,365.95287933108636,0.9042552875541598,2.3523284458424802,0.0083108406209782,-4.271412680756384,0.005011788939752182
112;125;143;144;96,5,138,1055.1724137931033,1.4702092095957906,2.670377634058321,379.7964937555427,0.8824786567978268,2.3526878663936173,0.030446891928448183,0.0,-0.01676484181658089
112;125;143;96,4,138,1051.9688542825363,1.4264866770541536,2.4867687225774295,355.3765085285841,0.932614278671761,2.3591009557259146,-0.013275640613188866,-3.203559510566947,0.03337078005735339
112;125;144;90;96,5,138,1053.0367074527253,1.503914148769145,2.790817623522963,395.81501235434007,0.8558173832446238,2.3597315320137686,0.06415183110180256,-2.135706340377965,-0.04342611536978391
112;125;144;96,4,138,1053.5706340378197,1.4893291013515564,2.7294670581074607,387.65538715407826,0.8726272893866468,2.3619563907382033,0.049566783684213966,-1.6017797552835873,-0.026616209227760868
112;144;90;96,4,138,1053.5706340378197,1.4764051396234925,2.7049577050354894,384.39564319550607,0.9113866552525504,2.3877917948760428,0.036642821956150096,-1.6017797552835873,0.012143156638142694
112;125;144;90,4,138,1053.5706340378197,1.4399263524467163,2.5650848552347707,365.7925541720105,0.9542341148723875,2.3941604673191037,0.00016403477937387834,-1.6017797552835873,0.05499061625797985
112;143;144;90,4,138,1056.774193548387,1.4404692359989961,2.574671730929233,367.067608639374,0.9958134831150501,2.4362827191140464,0.0007069183316537053,1.6017797552838147,0.09656998450064247
143;144;90;96,4,138,1057.3081201334817,1.4560864011506724,2.6451089171851376,376.4357544114093,0.9866340502098532,2.4427204513605254,0.016324083483330032,2.1357063403784196,0.08739055159544551
125;143;144;90,4,138,1057.842046718576,1.4351255589831966,2.5566687876378196,364.673217181616,1.0189381401559587,2.454063699139155,-0.004636758684145814,2.669632925472797,0.11969464154155107
125;143;144;96,4,138,1055.1724137931033,1.475310776687779,2.692141025424184,382.6910248072025,1.0116701403335964,2.4869809170213752,0.035548459020436685,0.0,0.1124266417191887
112;125;143;144,4,138,1055.706340378198,1.4305252382367553,2.514113180543635,359.01332143808946,1.070797679027728,2.501322917264483,-0.009237079430587158,0.5339265850948323,0.17155418041332038
112;143;144;96,4,138,1055.1724137931033,1.4720278397846753,2.6764958225591435,380.61021282615206,1.0571737078701782,2.5292015476548535,0.03226552211733291,0.0,0.1579302092557705
112;125;143,3,138,1053.0367074527253,1.4009774524177812,2.3852652032783435,341.8765404618057,,11.40097745241778,-0.03878486524956126,-2.135706340377965,
125;143;90,3,129,1056.2402669632927,1.4458691644868742,2.54965108304436,340.455796319309,,11.445869164486874,0.006106846819531775,1.0678531701894372,
112;143;90,3,129,1054.1045606229143,1.4500881761968862,2.569430731052825,342.9084726723587,,11.450088176196886,0.010325858529543819,-1.0678531701889824,
112;143;96,3,138,1053.5706340378197,1.472038348838968,2.6517390212229537,377.31755824843884,,11.472038348838968,0.032276031171625474,-1.6017797552835873,
143;90;96,3,129,1054.6384872080089,1.4721759531001295,2.672821697199178,355.7289524745064,,11.47217595310013,0.03241363543278708,-0.5339265850943775,
112;143;144,3,138,1056.774193548387,1.4756719753881642,2.69039102447147,382.4582746804915,,11.475671975388163,0.035909657720821775,1.6017797552838147,
112;125;90,3,129,1049.2992213570635,1.47615661226192,2.645238861579271,352.30868085763797,,11.47615661226192,0.03639429459457766,-5.873192436039744,
125;143;96,3,138,1050.9010011123469,1.477900257366944,2.683949440321139,381.60154398849744,,11.477900257366944,0.03813793969960155,-4.271412680756384,
125;144;90,3,129,1055.1724137931033,1.4873189314087452,2.7420185128474226,364.30935761488877,,11.487318931408746,0.04755661374140274,0.0,
112;125;96,3,138,1050.9010011123469,1.4877834272243944,2.698274029997289,383.50671441542545,,11.487783427224395,0.048021109557051966,-4.271412680756384,
112;125;144,3,138,1055.1724137931033,1.4923070326040666,2.736177794580731,388.5479151050232,,11.492307032604067,0.05254471493672419,0.0,
125;143;144,3,138,1059.9777530589545,1.4989383940060588,2.772059976597129,393.32024531320417,,11.498938394006059,0.059176076338716355,4.805339265851217,
112;144;90,3,129,1052.5027808676307,1.5045689227931753,2.797393242825623,371.17582413218565,,11.504568922793176,0.06480660512583292,-2.6696329254725697,
143;144;90,3,129,1057.842046718576,1.5104387311089957,2.8387907421765126,376.30911405169593,,11.510438731108996,0.07067641344165332,2.669632925472797,
143;144;96,3,138,1055.706340378198,1.5263712906158524,2.903899955451565,410.8549625008441,,11.526371290615852,0.08660897294851,0.5339265850948323,
125;90;96,3,129,1054.6384872080089,1.5268373203074923,2.8572034682397645,378.5922920835392,,11.526837320307493,0.08707500264014989,-0.5339265850943775,
144;90;96,3,129,1055.706340378198,1.5283832437522453,2.9047234875366117,384.4847744763482,,11.528383243752245,0.0886209260849029,0.5339265850948323,
112;90;96,3,129,1048.2313681868743,1.5286392449661363,2.8601438737805087,378.9569023705914,,11.528639244966136,0.08887692729879393,-6.941045606228954,
125;144;96,3,138,1054.6384872080089,1.5396412656983325,2.9293495864415346,414.2397634225101,,11.539641265698332,0.09987894803099007,-0.5339265850943775,
112;144;96,3,138,1054.1045606229143,1.544332415051418,2.945404781018871,416.37510430129583,,11.544332415051418,0.10457009738407552,-1.0678531701889824,
