iteration,single_sine_free_period_min,single_sine_free_period_s,single_sine_free_chi2,double_wave_free_period_min,double_wave_free_period_s,double_wave_free_chi2
0,8.73972602739726,524.3835616438356,288.9025056422706,17.531772575250837,1051.9063545150502,272.5388147502787
1,8.80365296803653,528.2191780821918,288.01226533526375,17.612040133779264,1056.7224080267558,270.7432586607856
2,8.707762557077626,522.4657534246576,318.8390424346345,17.558528428093645,1053.5117056856186,266.52668120720193
3,8.61187214611872,516.7123287671233,269.9467660161795,17.29096989966555,1037.4581939799332,262.0645254108766
4,8.707762557077626,522.4657534246576,304.8358417281849,17.47826086956522,1048.695652173913,287.8353675472358
5,8.73972602739726,524.3835616438356,270.9843373790495,19.270903010033443,1156.2541806020065,212.31612566676253
6,8.707762557077626,522.4657534246576,258.4123380189487,17.4247491638796,1045.484949832776,249.31019451536096
7,8.80365296803653,528.2191780821918,240.6753453886153,17.745819397993312,1064.7491638795987,218.27346802814264
8,8.707762557077626,522.4657534246576,290.04031382880993,17.665551839464882,1059.9331103678928,268.0324658715799
9,8.771689497716896,526.3013698630137,302.5322888169527,17.531772575250837,1051.9063545150502,280.2640438449399
10,8.771689497716896,526.3013698630137,269.2108050797782,17.638795986622075,1058.3277591973244,245.0145237102166
11,8.643835616438356,518.6301369863013,299.7043423229994,17.39799331103679,1043.8795986622074,280.0063972065137
12,8.67579908675799,520.5479452054794,297.3595779621305,17.451505016722408,1047.0903010033444,278.85332550135763
13,8.80365296803653,528.2191780821918,260.17968454307305,17.7190635451505,1063.14381270903,235.8145132389891
14,8.80365296803653,528.2191780821918,386.0870060240402,17.692307692307693,1061.5384615384617,346.4081837894049
15,8.73972602739726,524.3835616438356,252.66729992049727,17.585284280936456,1055.1170568561874,213.3940599324653
16,8.73972602739726,524.3835616438356,266.6774965634965,17.531772575250837,1051.9063545150502,251.78890620891372
17,8.73972602739726,524.3835616438356,254.78046989577172,17.585284280936456,1055.1170568561874,224.07105509825763
18,8.771689497716896,526.3013698630137,279.8124357641253,17.79933110367893,1067.9598662207359,236.88417652903806
19,8.707762557077626,522.4657534246576,245.15728824388918,17.585284280936456,1055.1170568561874,237.89548509286777
20,9.76255707762557,585.7534246575342,278.84580178130665,19.324414715719065,1159.464882943144,251.89369655577318
21,8.707762557077626,522.4657534246576,267.6082389741066,17.47826086956522,1048.695652173913,249.15727261022437
22,8.80365296803653,528.2191780821918,261.55994736937566,17.7190635451505,1063.14381270903,236.61964322941398
23,8.67579908675799,520.5479452054794,299.2465030152972,17.39799331103679,1043.8795986622074,266.99089289148185
24,8.80365296803653,528.2191780821918,326.6320460135097,17.7190635451505,1063.14381270903,300.1375578135843
25,8.707762557077626,522.4657534246576,273.11278248620687,19.591973244147155,1175.5183946488294,246.34203559772914
26,8.771689497716896,526.3013698630137,284.2123176097986,17.612040133779264,1056.7224080267558,269.08369392736967
27,8.707762557077626,522.4657534246576,263.6667345854955,17.47826086956522,1048.695652173913,253.65268220935104
28,8.707762557077626,522.4657534246576,268.2819696575162,17.933110367892976,1075.9866220735785,231.18266428842318
29,8.80365296803653,528.2191780821918,279.83337740309383,17.638795986622075,1058.3277591973244,272.77227864667856
30,8.707762557077626,522.4657534246576,284.39872072533956,17.39799331103679,1043.8795986622074,263.55772799485374
31,8.707762557077626,522.4657534246576,313.84537935918746,17.558528428093645,1053.5117056856186,294.3128871251698
32,8.73972602739726,524.3835616438356,278.1203355608719,17.85284280936455,1071.1705685618729,245.37598733479535
33,8.61187214611872,516.7123287671233,235.65047452883292,17.264214046822744,1035.8528428093646,221.88672636987226
34,8.771689497716896,526.3013698630137,270.99316126587496,17.558528428093645,1053.5117056856186,244.15494737083822
35,8.835616438356164,530.1369863013698,300.62787031833284,17.745819397993312,1064.7491638795987,268.445986097153
36,8.707762557077626,522.4657534246576,258.8120101360026,17.451505016722408,1047.0903010033444,245.73636181698456
37,8.80365296803653,528.2191780821918,289.31276074308823,17.7190635451505,1063.14381270903,270.3662673016437
38,8.707762557077626,522.4657534246576,323.84553119693146,17.505016722408026,1050.3010033444816,307.9885991357397
39,8.771689497716896,526.3013698630137,315.56281936245273,17.638795986622075,1058.3277591973244,307.0257513070133
40,11.136986301369863,668.2191780821918,333.7703523363076,19.45819397993311,1167.4916387959865,307.6834348116422
41,8.73972602739726,524.3835616438356,272.50895643984273,17.665551839464882,1059.9331103678928,250.30461125607798
42,6.438356164383562,386.3013698630137,304.913858424424,19.270903010033443,1156.2541806020065,282.4618143379938
43,8.80365296803653,528.2191780821918,270.5937763293597,17.585284280936456,1055.1170568561874,259.61753516757415
44,8.643835616438356,518.6301369863013,291.92976863208,17.317725752508363,1039.0635451505018,279.07961680409835
45,8.80365296803653,528.2191780821918,292.9102230738629,17.638795986622075,1058.3277591973244,277.8536050644142
46,8.771689497716896,526.3013698630137,238.99845846499213,17.665551839464882,1059.9331103678928,211.86204040616573
47,8.73972602739726,524.3835616438356,255.041904128326,17.505016722408026,1050.3010033444816,233.11894085931954
48,8.73972602739726,524.3835616438356,280.17305254653036,17.505016722408026,1050.3010033444816,262.6073258660864
49,8.771689497716896,526.3013698630137,294.77160680986196,17.585284280936456,1055.1170568561874,262.6810833422274
50,8.67579908675799,520.5479452054794,300.8768939915541,17.4247491638796,1045.484949832776,284.7059277343933
51,8.73972602739726,524.3835616438356,236.8244085446185,17.531772575250837,1051.9063545150502,228.09456835454395
52,8.643835616438356,518.6301369863013,293.51818220768394,17.29096989966555,1037.4581939799332,271.3402379552907
53,8.73972602739726,524.3835616438356,325.51738394420136,17.531772575250837,1051.9063545150502,291.17221702301117
54,10.97716894977169,658.6301369863014,275.0661075541124,17.638795986622075,1058.3277591973244,248.29348110709867
55,8.61187214611872,516.7123287671233,258.02695680098645,17.237458193979933,1034.247491638796,245.5750154246898
56,8.707762557077626,522.4657534246576,334.27292100478945,19.779264214046822,1186.7558528428094,311.3934671095079
57,8.73972602739726,524.3835616438356,277.0801446205202,17.585284280936456,1055.1170568561874,267.59820331137865
58,8.771689497716896,526.3013698630137,275.68789106054413,17.585284280936456,1055.1170568561874,256.7835688834297
59,8.771689497716896,526.3013698630137,313.55015913101056,17.531772575250837,1051.9063545150502,301.71426795449116
60,9.858447488584474,591.5068493150684,266.6924278784205,19.698996655518393,1181.9397993311036,251.2318018841767
61,8.771689497716896,526.3013698630137,284.7949286604635,17.612040133779264,1056.7224080267558,262.19819652233514
62,8.67579908675799,520.5479452054794,309.46346752002523,17.264214046822744,1035.8528428093646,281.16474910750173
63,8.867579908675799,532.054794520548,308.82073670601665,18.066889632107024,1084.0133779264215,277.76030562349945
64,8.67579908675799,520.5479452054794,293.632798813431,17.505016722408026,1050.3010033444816,269.74618521697414
