flat,sequence,file,object_id,role,x,y,match_dist,flux_rate,flag
flat_4s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0001_flat_4s_masked_cal.fits,gaia_774271076054448768_src2,comparison,1496.8255693425615,323.38791398022295,0.7807799326511063,2276.8445014953613,ok
flat_4s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0001_flat_4s_masked_cal.fits,gaia_774272862760870784_src1,comparison,589.9477477253118,260.06640727112114,2.251026111331083,3328.0178651809692,ok
flat_4s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0001_flat_4s_masked_cal.fits,gaia_774287774887292672_src5,comparison,2024.0445010822461,1082.9974626086514,0.765107266674165,1306.0139918327332,ok
flat_4s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0001_flat_4s_masked_cal.fits,gaia_774288805679445888_src7,comparison,1935.1179496124132,1353.8497959105837,1.545573512672639,1074.7085819244385,ok
flat_4s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0001_flat_4s_masked_cal.fits,gaia_774289041901756032_src4,comparison,2031.887037660285,1444.6856060389575,1.5457068796440778,1375.7290840148926,ok
flat_4s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0001_flat_4s_masked_cal.fits,gaia_774289488578357504_src6,comparison,930.6568614965728,1102.5653846466532,1.6566652129850197,1218.4684133529663,ok
flat_4s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0001_flat_4s_masked_cal.fits,gaia_774290626745586944_src8,comparison,1060.6055421542567,1435.5093975336947,1.011609015860133,380.9195833206177,ok
flat_4s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0001_flat_4s_masked_cal.fits,gaia_774384016513181696_src3,comparison,380.7722844118522,1256.9317614739457,2.9346768868215,1512.1845474243164,ok
flat_4s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0002_flat_4s_masked_cal.fits,gaia_774271076054448768_src2,comparison,1497.2709778922765,323.6731141302206,1.4069143178520975,2233.6281509399414,ok
flat_4s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0002_flat_4s_masked_cal.fits,gaia_774272862760870784_src1,comparison,590.4047230521951,260.27923696695365,3.984616068516669,3250.6915340423584,ok
flat_4s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0002_flat_4s_masked_cal.fits,gaia_774287774887292672_src5,comparison,2024.449166632352,1083.3869713992428,1.2325645879084355,1325.9709749221802,ok
flat_4s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0002_flat_4s_masked_cal.fits,gaia_774288805679445888_src7,comparison,1935.568635552817,1354.2886979518669,2.322994184624915,1082.7689681053162,ok
flat_4s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0002_flat_4s_masked_cal.fits,gaia_774289041901756032_src4,comparison,2032.3475334459456,1444.989231233456,2.49908403160244,1318.699131011963,ok
flat_4s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0002_flat_4s_masked_cal.fits,gaia_774289488578357504_src6,comparison,930.9817943296337,1102.9079481204396,2.943272784418575,1122.143822669983,ok
flat_4s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0002_flat_4s_masked_cal.fits,gaia_774290626745586944_src8,comparison,1060.9551258668184,1435.7467832015466,2.556400263158911,375.7389998435974,ok
flat_4s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0002_flat_4s_masked_cal.fits,gaia_774384016513181696_src3,comparison,381.0302500369361,1257.2817966838995,4.813222161549853,1419.1618022918701,ok
flat_4s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0003_flat_4s_masked_cal.fits,gaia_774271076054448768_src2,comparison,1497.0516105647794,323.3491746634052,0.9730950979179925,2101.2095260620117,ok
flat_4s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0003_flat_4s_masked_cal.fits,gaia_774272862760870784_src1,comparison,590.1875600629273,260.0180554715642,2.815755310934835,3158.1497616767883,ok
flat_4s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0003_flat_4s_masked_cal.fits,gaia_774287774887292672_src5,comparison,2024.2099319683607,1082.9456007949443,0.8862369452624708,1260.0394716262817,ok
flat_4s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0003_flat_4s_masked_cal.fits,gaia_774288805679445888_src7,comparison,1935.3245635292872,1353.7535383461693,1.7995506681472428,1019.8829975128174,ok
flat_4s_masked,V0399 named,light_V0399_V_8s_2026_05_20-0003_flat_4s_masked_cal.fits,gaia_774289041901756032_src4,comparison,2032.071822601491,1444.5497720604485,1.8096187448884689,1322.991750717163,ok
