flat,sequence,file,jd,minutes,target_rate,dn_rate,ensemble_rate,diff_flux,check_diff_flux,n_comps,n_sources,good,reject_reason,minutes_combined,diff_flux_norm,check_diff_flux_norm
flat_4s_masked,V_8 generic,light_V_8s_2026_05_20-0001_flat_4s_masked_cal.fits,2461181.672184375,0.0,188135.58784484863,275806.6961669922,1210.229712486267,155.4544446428665,227.89615336776146,8,19,True,ok,0.0,0.9852961235307116,0.9919919715649247
flat_4s_masked,V_8 generic,light_V_8s_2026_05_20-0002_flat_4s_masked_cal.fits,2461181.672376852,0.2771667391061783,169996.4757080078,244303.95166015625,1049.7983503341675,161.93250413652797,232.7151224636526,8,17,True,ok,0.2771667391061783,1.0263551419574253,1.0129680985582983
flat_4s_masked,V_8 generic,light_V_8s_2026_05_20-0003_flat_4s_masked_cal.fits,2461181.6725682872,0.5528334528207779,198309.7179260254,299039.36169433594,1282.992862701416,154.56806011256583,233.07952085149654,8,20,True,ok,0.5528334528207779,0.9796780709644487,1.0145542608074216
flat_4s_masked,V_8 generic,light_V_8s_2026_05_20-0004_flat_4s_masked_cal.fits,2461181.6727600694,0.8289997279644012,170312.2891845703,252445.99759674072,1073.089539527893,158.7120952269271,235.2515687626632,8,17,True,ok,0.8289997279644012,1.0059436547072333,1.0240088042821185
flat_4s_masked,V_8 generic,light_V_8s_2026_05_20-0005_flat_4s_masked_cal.fits,2461181.6729527777,1.10649973154068,195335.7695236206,285557.8159561157,1245.524088859558,156.83018198586294,229.26719644385332,8,21,True,ok,1.10649973154068,0.9940157756073372,0.9979598815276612
flat_4s_masked,V_8 generic,light_V_8s_2026_05_20-0006_flat_4s_masked_cal.fits,2461181.6731434027,1.3809996843338013,188502.72843170166,277019.76753234863,1201.8246641159058,156.84711261136357,230.49931974572326,8,20,True,ok,1.3809996843338013,0.9941230847274659,1.0033230980864798
flat_4s_masked,V_8 generic,light_V_8s_2026_05_20-0007_flat_4s_masked_cal.fits,2461181.6733350693,1.6569996625185013,201056.61463546753,283591.8405303955,1287.157874584198,156.2019847024722,220.32405358356425,8,21,True,ok,1.6569996625185013,0.9900341567507044,0.959031949718085
flat_4s_masked,V_8 generic,light_V_8s_2026_05_20-0008_flat_4s_masked_cal.fits,2461181.6735259257,1.931832879781723,156399.76360702515,228912.46083068848,973.5340008735657,160.65156786171357,235.13555831155577,8,15,True,ok,1.931832879781723,1.018236354817154,1.023503831142311
flat_4s_masked,V_8 generic,light_V_8s_2026_05_20-0009_flat_4s_masked_cal.fits,2461181.6737177083,2.2079998254776,200712.26094818115,292147.20095825195,1271.9849591255188,157.79452383318235,229.6781883011425,8,20,True,ok,2.2079998254776,1.0001279346138237,0.9997488569745242
flat_4s_masked,V_8 generic,light_V_8s_2026_05_20-0010_flat_4s_masked_cal.fits,2461181.6739096064,2.4843330681324005,178136.8524169922,251383.29122924805,1110.4018445014954,160.4255732274698,226.3894755525233,8,19,True,ok,2.4843330681324005,1.0168039632405048,0.9854336673795997
flat_4s_masked,V_8 generic,light_V_8s_2026_05_20-0011_flat_4s_masked_cal.fits,2461181.67410081,2.7596665173768997,222028.05809020996,322535.9979248047,1415.2174000740051,156.88618446791256,227.90561924121235,8,23,True,ok,2.7596665173768997,0.9943707286522524,0.9920331748512828
flat_4s_masked,V_8 generic,light_V_8s_2026_05_20-0012_flat_4s_masked_cal.fits,2461181.674292361,3.0354995280504227,174685.39957427979,251553.83024597168,1116.3591213226318,156.47778231732212,225.33414690779574,8,21,True,ok,3.0354995280504227,0.9917822079010908,0.9808400069449593
