file,directory,object,filter,exptime,jd,date_obs,xbinning,ybinning
light_AMCVn_V_35s_2026_05_20-0001.fit,lights,light_AMCVn_V_35s_2026_05_20,V,35.0,2461181.7833690974,2026-05-21T06:48:03.09,4,4
light_AMCVn_V_35s_2026_05_20-0002.fit,lights,light_AMCVn_V_35s_2026_05_20,V,35.0,2461181.7838724535,2026-05-21T06:48:46.58,4,4
light_AMCVn_V_35s_2026_05_20-0003.fit,lights,light_AMCVn_V_35s_2026_05_20,V,35.0,2461181.784376273,2026-05-21T06:49:30.11,4,4
light_AMCVn_V_35s_2026_05_20-0004.fit,lights,light_AMCVn_V_35s_2026_05_20,V,35.0,2461181.7848802083,2026-05-21T06:50:13.65,4,4
light_AMCVn_V_35s_2026_05_20-0005.fit,lights,light_AMCVn_V_35s_2026_05_20,V,35.0,2461181.785383102,2026-05-21T06:50:57.10,4,4
light_AMCVn_V_35s_2026_05_20-0006.fit,lights,light_AMCVn_V_35s_2026_05_20,V,35.0,2461181.785886574,2026-05-21T06:51:40.60,4,4
light_AMCVn_V_35s_2026_05_20-0007.fit,lights,light_AMCVn_V_35s_2026_05_20,V,35.0,2461181.7863908564,2026-05-21T06:52:24.17,4,4
light_AMCVn_V_35s_2026_05_20-0008.fit,lights,light_AMCVn_V_35s_2026_05_20,V,35.0,2461181.7868951387,2026-05-21T06:53:07.74,4,4
light_AMCVn_V_35s_2026_05_20-0009.fit,lights,light_AMCVn_V_35s_2026_05_20,V,35.0,2461181.7873987267,2026-05-21T06:53:51.25,4,4
light_AMCVn_V_35s_2026_05_20-0010.fit,lights,light_AMCVn_V_35s_2026_05_20,V,35.0,2461181.7879017363,2026-05-21T06:54:34.71,4,4
light_AMCVn_V_35s_2026_05_20-0011.fit,lights,light_AMCVn_V_35s_2026_05_20,V,35.0,2461181.78840625,2026-05-21T06:55:18.30,4,4
light_AMCVn_V_35s_2026_05_20-0012.fit,lights,light_AMCVn_V_35s_2026_05_20,V,35.0,2461181.788910301,2026-05-21T06:56:01.85,4,4
light_AMCVn_V_35s_2026_05_20-0013.fit,lights,light_AMCVn_V_35s_2026_05_20,V,35.0,2461181.7894148147,2026-05-21T06:56:45.44,4,4
light_AMCVn_V_35s_2026_05_20-0014.fit,lights,light_AMCVn_V_35s_2026_05_20,V,35.0,2461181.789919329,2026-05-21T06:57:29.03,4,4
light_AMCVn_V_35s_2026_05_20-0015.fit,lights,light_AMCVn_V_35s_2026_05_20,V,35.0,2461181.7904230324,2026-05-21T06:58:12.55,4,4
light_AMCVn_V_35s_2026_05_20-0016.fit,lights,light_AMCVn_V_35s_2026_05_20,V,35.0,2461181.7909267363,2026-05-21T06:58:56.07,4,4
light_AMCVn_V_35s_2026_05_20-0017.fit,lights,light_AMCVn_V_35s_2026_05_20,V,35.0,2461181.7914305557,2026-05-21T06:59:39.60,4,4
light_AMCVn_V_35s_2026_05_20-0018.fit,lights,light_AMCVn_V_35s_2026_05_20,V,35.0,2461181.7919336804,2026-05-21T07:00:23.07,4,4
light_AMCVn_V_35s_2026_05_20-0019.fit,lights,light_AMCVn_V_35s_2026_05_20,V,35.0,2461181.7924377313,2026-05-21T07:01:06.62,4,4
light_AMCVn_V_35s_2026_05_20-0020.fit,lights,light_AMCVn_V_35s_2026_05_20,V,35.0,2461181.7929409724,2026-05-21T07:01:50.10,4,4
light_AMCVn_V_35s_2026_05_20-0021.fit,lights,light_AMCVn_V_35s_2026_05_20,V,35.0,2461181.7934445604,2026-05-21T07:02:33.61,4,4
