model,k,chi2_red,rms_pct,aic,bic,delta_chi2_vs_const,extra_params,nested_p,amp1_pct,abs_p
box_eclipse_3.105min_dur2.40,3,0.6910990500747,1.4238214402888532,135.2355223639689,144.97659458045035,5.78661124381793,1,0.0161486891659954,,0.9995658723747639
constant_per_sequence,2,0.7182028383392917,1.452773356075987,139.02213360778683,145.5161817521078,0.0,0,,,0.9986774404967862
sine_5.409min,4,0.6895657555740367,1.4157746362092252,136.25923053677081,149.24732682541276,6.762903071016012,2,0.03399806949597959,0.4586067402484975,0.9995810437415394
linear_trend,3,0.7205151096632217,1.4510832990069487,140.73632550702246,150.4773977235039,0.28580810076437047,1,0.5929194064012879,,0.9985115175720727
sine_7.650min,4,0.7070080289112733,1.4329696327516857,139.50349337749685,152.4915896661388,3.518640230289975,2,0.17216187429266236,0.3304699189989776,0.9991125812921978
sine_30.600min,4,0.7202801446517101,1.4471508345990123,141.97210690521808,154.96020319386002,1.0500267025687435,2,0.5915474663956479,0.17663065082220236,0.9984855622810086
sine_29.500min,4,0.7205741698616542,1.4474758288719742,142.0267955942677,155.01489188290964,0.995338013519131,2,0.6079461276627361,0.17371805009652305,0.998468055301949
sine_13.936min,4,0.7225578676588712,1.4496774918608484,142.39576338455004,155.38385967319198,0.6263702232367905,2,0.7311145622419606,0.1414753268893422,0.9983451738009828
sine_15.300min,4,0.7234668872701671,1.4507444069702118,142.56484103225108,155.55293732089302,0.457292575535746,2,0.7956099006945292,0.12025265963649198,0.9982860015438463
two_harmonic_5.409min,6,0.6900066837567591,1.4087925861668926,138.96122981124367,158.44337424420658,8.060903796543158,4,0.08937251544378888,,0.9995436344983976
two_harmonic_15.300min,6,0.7102907814941648,1.4289733058068486,142.69350379492633,162.17564822788924,4.328629812860498,4,0.3633537746414579,,0.9989245529658225
two_harmonic_7.650min,6,0.7108023077322392,1.4288577293802291,142.787624622732,162.26976905569492,4.234508985054816,4,0.3751978288736179,,0.9989020963787971
two_harmonic_30.600min,6,0.7262815250264597,1.4457120799980354,145.6358006048686,165.1179450378315,1.386333002918235,4,0.8465668941379431,,0.9979913301464607
two_harmonic_29.500min,6,0.7270060129636349,1.4464305615203268,145.76910638530882,165.25125081827173,1.2530272224780106,4,0.8692932307670447,,0.9979357799681868
two_harmonic_13.936min,6,0.730137565371178,1.4492350859872052,146.34531202829675,165.82745646125966,0.6768215794900811,4,0.9541562304066589,,0.9976797710420245
