paper,period_type,period_s,sigma_s,method,classification,testability,our_measurement,our_period_s,our_sigma_s,difference_our_minus_ref_s,raw_z_using_our_sigma,z_if_same_signal
Patterson et al. 1979,photometric superhump-like 1051s family,1051.212,0.015,extrema timing and O-C ephemeris,same physical signal,"consistent, but our uncertainty is too large for dP/dt confirmation",doubled_half_period_scaled_delta_chi2,1050.0350058343058,8.731455242540456,-1.1769941656941683,-0.13479911380047727,-0.13479911380047727
Patterson et al. 1979,photometric superhump-like 1051s family,1051.212,0.015,extrema timing and O-C ephemeris,same physical signal,"consistent, but our uncertainty is too large for dP/dt confirmation",double_wave_scaled_delta_chi2,1055.1958659776628,8.611435239206493,3.9838659776628447,0.462624385281712,0.462624385281712
Kruszewski & Semeniuk 1992,dominant 525s harmonic / 1051s family,1051.2,,1962 photometry reanalysis; period not uniquely determined,same physical signal,consistent,doubled_half_period_scaled_delta_chi2,1050.0350058343058,8.731455242540456,-1.1649941656942246,-0.13342497136310857,-0.13342497136310857
Kruszewski & Semeniuk 1992,dominant 525s harmonic / 1051s family,1051.2,,1962 photometry reanalysis; period not uniquely determined,same physical signal,consistent,double_wave_scaled_delta_chi2,1055.1958659776628,8.611435239206493,3.9958659776627883,0.46401858304295746,0.46401858304295746
Kruszewski & Semeniuk 1992,separate 1023s mode,1023.02,,1962 photometry reanalysis,different or uncertain mode,"our superhump-family signal is inconsistent, but this is not the same signal",doubled_half_period_scaled_delta_chi2,1050.0350058343058,8.731455242540456,27.01500583430584,3.0939866361206594,
Kruszewski & Semeniuk 1992,separate 1023s mode,1023.02,,1962 photometry reanalysis,different or uncertain mode,"our superhump-family signal is inconsistent, but this is not the same signal",double_wave_scaled_delta_chi2,1055.1958659776628,8.611435239206493,32.17586597766285,3.7364115369725197,
Nelemans et al. 2001,spectroscopic orbital period,1028.7322,0.0003,spectroscopic S-wave/orbital ephemeris,different signal,not detected as the dominant photometric signal,doubled_half_period_scaled_delta_chi2,1050.0350058343058,8.731455242540456,21.3028058343059,2.439777245600778,
Nelemans et al. 2001,spectroscopic orbital period,1028.7322,0.0003,spectroscopic S-wave/orbital ephemeris,different signal,not detected as the dominant photometric signal,double_wave_scaled_delta_chi2,1055.1958659776628,8.611435239206493,26.463665977662913,3.073084245134808,
Nelemans et al. 2001,positive superhump,1051.2,,photometric superhump interpretation,same physical signal,consistent,doubled_half_period_scaled_delta_chi2,1050.0350058343058,8.731455242540456,-1.1649941656942246,-0.13342497136310857,-0.13342497136310857
Nelemans et al. 2001,positive superhump,1051.2,,photometric superhump interpretation,same physical signal,consistent,double_wave_scaled_delta_chi2,1055.1958659776628,8.611435239206493,3.9958659776627883,0.46401858304295746,0.46401858304295746
Nelemans et al. 2001,disk precession,48168.0,,beat between orbital and superhump periods,not measurable here,not testable: our baseline covers about 0.14 cycles,doubled_half_period_scaled_delta_chi2,1050.0350058343058,8.731455242540456,-47117.9649941657,-5396.347308132856,
Nelemans et al. 2001,disk precession,48168.0,,beat between orbital and superhump periods,not measurable here,not testable: our baseline covers about 0.14 cycles,double_wave_scaled_delta_chi2,1055.1958659776628,8.611435239206493,-47112.804134022335,-5470.958420441373,
Roelofs et al. 2006,spectroscopic orbital period,1028.7322,0.0003,phase-binned spectroscopy/Doppler tomography,different signal,not detected as the dominant photometric signal,doubled_half_period_scaled_delta_chi2,1050.0350058343058,8.731455242540456,21.3028058343059,2.439777245600778,
Roelofs et al. 2006,spectroscopic orbital period,1028.7322,0.0003,phase-binned spectroscopy/Doppler tomography,different signal,not detected as the dominant photometric signal,double_wave_scaled_delta_chi2,1055.1958659776628,8.611435239206493,26.463665977662913,3.073084245134808,
