iteration,single_sine_free_period_min,single_sine_free_period_s,single_sine_free_chi2,double_wave_free_period_min,double_wave_free_period_s,double_wave_free_chi2
0,8.86552217453505,531.931330472103,157.33845514962047,17.764182424916573,1065.8509454949944,137.3959691853259
1,8.895565092989987,533.7339055793992,134.40026528671586,17.844271412680754,1070.6562847608452,115.03913466985303
2,8.675250357653791,520.5150214592275,158.7561646225036,17.550611790878754,1053.0367074527253,128.89941317997727
3,8.615164520743921,516.9098712446353,159.21038577061591,17.417130144605117,1045.0278086763071,133.15194534945925
4,8.745350500715308,524.7210300429184,141.12402332563752,17.408231368186875,1044.4938820912125,133.36414811194652
5,8.895565092989987,533.7339055793992,89.08792098193814,17.835372636262512,1070.1223581757508,81.32654910674874
6,8.785407725321889,527.1244635193134,115.21508009241848,17.621802002224694,1057.3081201334817,110.1604060802145
7,8.88555078683834,533.1330472103004,115.91502713819904,17.82647385984427,1069.5884315906562,103.84985063283978
8,6.642346208869814,398.54077253218884,158.60407773760977,17.301446051167964,1038.086763070078,131.19117759968796
9,8.545064377682404,512.7038626609443,187.74463282480482,17.114571746384872,1026.8743047830924,147.27913611738865
10,8.795422031473533,527.725321888412,117.77301665580313,17.541713014460512,1052.5027808676307,114.94371893621346
11,8.695278969957082,521.7167381974249,119.25850960608591,17.417130144605117,1045.0278086763071,106.04512627166028
12,8.555078683834049,513.304721030043,172.5142144089886,17.292547274749722,1037.5528364849833,139.6629898791101
13,10.978540772532188,658.7124463519312,137.661806113848,17.559510567296996,1053.5706340378197,129.18103567942916
14,8.645207439198856,518.7124463519314,160.97543968881587,17.363737486095662,1041.8242491657397,144.3048186045757
15,8.625178826895565,517.5107296137339,156.0271528188233,17.372636262513904,1042.3581757508343,131.87817506880447
16,8.745350500715308,524.7210300429184,188.34348584136904,17.4349276974416,1046.0956618464961,146.95221767107756
17,8.755364806866954,525.3218884120172,133.78198407642938,17.4972191323693,1049.833147942158,119.08174199587987
18,9.696709585121603,581.8025751072962,104.74524345131819,19.410456062291434,1164.6273637374861,95.25115722166088
19,11.01859799713877,661.1158798283261,123.1947299593368,22.0,1320.0,116.9977691200908
20,8.785407725321889,527.1244635193134,198.69557876669182,17.42602892102336,1045.5617352614015,144.5550709010421
21,8.86552217453505,531.931330472103,177.20006114204466,17.853170189099,1071.19021134594,148.58846784578466
22,5.4406294706723894,326.43776824034336,130.42318000615055,17.452725250278085,1047.163515016685,110.92707598135482
23,11.048640915593705,662.9184549356223,148.79733901290598,19.36596218020022,1161.9577308120133,119.45187478312982
24,8.675250357653791,520.5150214592275,176.22105458015014,17.31924360400445,1039.154616240267,149.68894600658834
25,8.625178826895565,517.5107296137339,156.72953213628412,17.230255839822025,1033.8153503893216,139.74412023560137
26,8.595135908440628,515.7081545064377,182.61644824564777,17.159065628476085,1029.5439377085652,154.89060901198332
27,8.695278969957082,521.7167381974249,118.15611220815755,17.372636262513904,1042.3581757508343,110.0703548826003
28,8.805436337625178,528.3261802575107,122.7276287396787,17.639599555061178,1058.3759733036707,116.96756519679167
29,8.715307582260372,522.9184549356223,145.89297046429203,17.417130144605117,1045.0278086763071,136.50925593588292
30,8.715307582260372,522.9184549356223,178.36126848953657,17.57730812013348,1054.6384872080089,147.8404333458422
31,8.765379113018598,525.9227467811158,168.72882826237765,17.559510567296996,1053.5706340378197,133.46860883842993
