rank,period_d,period_min,frequency_cpd,power,fap,sinusoid_amp_norm,sinusoid_rms_norm
1,0.003399703798425997,4.895573469733436,294.1432722647727,0.06714728699644848,0.5604153798725594,0.00583618884245647,0.017085727609008772
2,0.00556481338031085,8.013331267647622,179.70054549145368,0.06494018963189123,0.6346925087928172,,
3,0.006260188269574308,9.014671108187004,159.73960477517713,0.0511127471898322,0.96979872271877,,
4,0.004846954195316051,6.979614041255113,206.31513311315578,0.03583632100656253,0.9999976198291974,,
5,0.0020814020280711526,2.9972189204224597,480.44538561668736,0.034262587073014834,0.9999996014514093,,
6,0.006955512780809717,10.015938404365993,143.77085220215588,0.026334869458447034,0.999999999999014,,
7,0.004105502281553582,5.911923285437158,243.5755557835387,0.02298715763337372,0.9999999999999996,,
8,0.0375,53.99999999999999,26.666666666666668,0.01460833395396469,1.0,,
9,0.03571760739085953,51.43335464283773,27.99739604775177,0.01439612137838527,1.0,,
10,0.03409696274064452,49.099626346528105,29.328125428836877,0.014172879641786566,1.0,,
