flat,file,jd,object_id,role,flux_rate,flag,x,y,match_dist
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,target,target,213236.88902664185,ok,1919.0146393338243,634.6679345974002,
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,DN_UMa,check,315577.34002685547,ok,1844.3169140644086,689.1431723905756,
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,gaia_774272862760870784_src1,comparison,3326.646740913391,ok,589.9488503558082,260.06675505119244,2.2278656733372255
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,gaia_774271076054448768_src2,comparison,2278.350749015808,ok,1496.8261972737305,323.38912427460417,0.7751548261209308
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,gaia_774384016513181696_src3,comparison,1517.339282989502,ok,380.7732924829132,1256.926819189222,2.9150044040776293
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,gaia_774289041901756032_src4,comparison,1377.9126615524292,ok,2031.8971565602849,1444.6760039472465,1.5566161754419505
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,gaia_774287774887292672_src5,comparison,1307.785496711731,ok,2024.0397640441583,1082.9872937469418,0.766469693287703
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,gaia_774289488578357504_src6,comparison,1219.54843044281,ok,930.6605250786797,1102.5646171895623,1.6455768332122327
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,gaia_774288805679445888_src7,comparison,1074.4656772613525,ok,1935.118026830609,1353.849526775419,1.5406676160650112
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,gaia_774290626745586944_src8,comparison,381.35105323791504,ok,1060.6387317188412,1435.5339310292973,1.003855535729375
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,HD_103405,comparison,15236.976490974426,ok,1147.0193321999486,153.33977229642656,1.5390603269524317
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,TYC_3452_787_1,comparison,20579.08962583542,ok,353.6110238836135,757.4258867708342,2.8364902364904307
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,HD_103187,comparison,78819.70159816742,ok,57.151603928708035,1516.5530807870207,3.715622381206386
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.689252662,target,target,212825.65330696106,ok,1919.444634629839,634.97337137281,
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.689252662,DN_UMa,check,309753.4651489258,ok,1844.6251955832058,689.4800692233955,
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.689252662,gaia_774272862760870784_src1,comparison,3270.5273971557617,ok,590.413509511586,260.2714761284802,3.9575325017557432
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.689252662,gaia_774271076054448768_src2,comparison,2235.532293319702,ok,1497.2719154158933,323.68239316613256,1.4067623449726636
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.689252662,gaia_774384016513181696_src3,comparison,1424.3305401802063,ok,381.03355270563304,1257.2981751790114,4.797746299293219
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.689252662,gaia_774289041901756032_src4,comparison,1334.1734628677368,ok,2032.3474937746016,1444.975491942366,2.5007812490416454
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.689252662,gaia_774287774887292672_src5,comparison,1328.920883178711,ok,2024.439137637906,1083.3913054125037,1.2184142444471269
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.689252662,gaia_774289488578357504_src6,comparison,1122.8119373321533,ok,930.984546295427,1102.9075373604976,2.9281499966812787
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.689252662,gaia_774288805679445888_src7,comparison,1071.1167583465576,ok,1935.5778797583807,1354.2999942014055,2.3140194155835534
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.689252662,gaia_774290626745586944_src8,comparison,378.9598226547241,ok,1060.9237315842356,1435.7411181276789,2.5017253530047796
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.689252662,HD_103405,comparison,14516.186489105225,ok,1147.5248418077958,153.62009880079262,2.707496339454333
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.689252662,TYC_3452_787_1,comparison,18685.245473861694,ok,354.0079399150091,757.7034441312526,4.725449895679948
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.689252662,HD_103187,comparison,73656.82397842407,ok,57.682913547061986,1516.8377721836644,6.4105716699421285
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.68944375,target,target,207401.86889648438,ok,1919.198601345434,634.6099571578397,
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.68944375,DN_UMa,check,300081.6060218811,ok,1844.4649208978337,689.114173300595,
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.68944375,gaia_774272862760870784_src1,comparison,3155.2760524749756,ok,590.1889321348878,260.0182709347027,2.7728585796908534
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.68944375,gaia_774271076054448768_src2,comparison,2102.415699005127,ok,1497.051762458424,323.35071972886897,0.9591241488718497
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.68944375,gaia_774384016513181696_src3,comparison,1434.3666305541992,ok,380.88426276486297,1256.8727381085735,3.3443369407577714
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.68944375,gaia_774289041901756032_src4,comparison,1316.2620849609375,ok,2032.072256385734,1444.5582773096264,1.7874662917697177
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.68944375,gaia_774287774887292672_src5,comparison,1269.3526515960693,ok,2024.2146348995263,1082.9352400317466,0.8876902148807913
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.68944375,gaia_774289488578357504_src6,comparison,1113.0166816711426,ok,930.7735124116753,1102.544640520634,1.9508881123469568
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.68944375,gaia_774288805679445888_src7,comparison,1019.0909833908081,ok,1935.3249214848522,1353.7533262770094,1.7845556145725567
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.68944375,gaia_774290626745586944_src8,comparison,349.79727363586426,ok,1060.7554446198772,1435.4249248936308,1.5137436630071297
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.68944375,HD_103405,comparison,14360.765946388245,ok,1147.243678939996,153.19829360943356,1.794903416228294
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.68944375,TYC_3452_787_1,comparison,19266.74439239502,ok,353.7709865142045,757.3462778317786,3.2902211762495783
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.68944375,HD_103187,comparison,74158.61715698242,ok,57.306327725703085,1516.410789810417,4.359336567937971
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6896349536,target,target,213428.76544189453,ok,1919.5194189308374,635.2824076346991,
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6896349536,DN_UMa,check,310670.8719406128,ok,1844.7819667180186,689.7944612038971,
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6896349536,gaia_774272862760870784_src1,comparison,3331.3806228637695,ok,590.643176044893,260.6506538107824,2.896899714992591
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6896349536,gaia_774271076054448768_src2,comparison,2152.3408851623535,ok,1497.3672269026915,324.00150969788706,0.9550720695880609
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6896349536,gaia_774384016513181696_src3,comparison,1438.5088262557983,ok,381.4126159018661,1257.585655467387,3.600466873705835
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6896349536,gaia_774289041901756032_src4,comparison,1377.874168395996,ok,2032.361529701589,1445.374990444596,1.6750964155749235
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6896349536,gaia_774287774887292672_src5,comparison,1335.534315109253,ok,2024.5371324743226,1083.7116629363088,0.813249424830872
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6896349536,gaia_774289488578357504_src6,comparison,1137.4559364318848,ok,931.1824211852223,1103.1034234788563,2.054498367055988
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6896349536,gaia_774288805679445888_src7,comparison,1057.395263671875,ok,1935.6278045822912,1354.630915238272,1.6485567809382118
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6896349536,gaia_774290626745586944_src8,comparison,358.8126459121704,ok,1060.8308962117405,1436.1432715067476,1.3733667194916495
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6896349536,HD_103405,comparison,14633.899416923523,ok,1147.622169776348,153.9723629505519,1.9511384858432133
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6896349536,TYC_3452_787_1,comparison,19117.806846618652,ok,354.3444726213266,757.9981957272852,3.5342942193850346
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6896349536,HD_103187,comparison,72052.36580657959,ok,57.99044865758681,1517.2044459581032,4.81884862928356
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6898260415,target,target,194213.26579284668,ok,1921.0293067708824,634.5943794518819,
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6898260415,DN_UMa,check,283237.29846191406,ok,1846.2499850878414,689.0933412972413,
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6898260415,gaia_774272862760870784_src1,comparison,2984.8116207122803,ok,592.0913929602672,259.90725420808593,3.425267428961239
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6898260415,gaia_774271076054448768_src2,comparison,2004.104019165039,ok,1498.959121276634,323.3114369789377,1.2150457649136905
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6898260415,gaia_774384016513181696_src3,comparison,1340.1320729255676,ok,382.77485521611374,1256.7230619033135,4.1746534942123015
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6898260415,gaia_774289041901756032_src4,comparison,1258.001428604126,ok,2033.817341922828,1444.5417038522198,2.135104711538878
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6898260415,gaia_774287774887292672_src5,comparison,1199.1838855743408,ok,2025.9681576688095,1082.958620721806,1.0432952501649349
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6898260415,gaia_774289488578357504_src6,comparison,1070.457335472107,ok,932.6221835796588,1102.3161867829542,2.461927287038093
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6898260415,gaia_774288805679445888_src7,comparison,971.1565084457397,ok,1937.1574416968542,1353.7295334856315,2.1482714669734717
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6898260415,gaia_774290626745586944_src8,comparison,337.2434720993042,ok,1062.3620822290643,1435.0714131009684,2.000741352468787
flat_0p3_late_bias,light_V0399_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6898260415,HD_103405,comparison,13669.885196685791,ok,1149.120572310798,153.30251886004322,2.3729712195225328
