file,jd,minutes,diff_flux,diff_flux_err,target_flux_rate,comparison_ensemble_flux_rate,n_comps,good,reject_reason
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,0.0,155.39028805351546,40.67027860885227,188007.79036712646,1209.9069557189941,8,True,ok
light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,0.2771667391061783,162.0229607455306,40.194610193845946,169939.37365722656,1048.85982131958,8,True,ok
light_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.6725682872,0.5528334528207779,155.44827746858402,38.18213585621144,198252.70974731445,1275.3612518310547,8,True,ok
light_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6727600694,0.8289997279644012,158.90399830693937,39.67773086312128,170249.80078125,1071.4003586769104,8,True,ok
light_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6729527777,1.10649973154068,154.29913783646234,42.82864502888195,195226.19681549072,1265.24489736557,8,True,ok
light_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6731434027,1.3809996843338013,24796.950035458918,93.2685864756879,188454.54767608643,7.599908351898193,2,True,ok
light_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6733350693,1.6569996625185013,22089.54540494026,1343.695169275946,200988.49668884277,9.098806381225586,3,True,ok
light_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.6735259257,1.931832879781723,27854.984946660727,13148.31528480267,156232.16110992432,5.608768463134766,3,True,ok
light_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.6737177083,2.2079998254776,22149.54386528207,8361.758995637892,200525.34380340576,9.05324935913086,5,True,ok
light_V_8s_2026_05_20-0010_flat_0p3_late_bias_cal.fits,2461181.6739096064,2.4843330681324005,64092.09294449397,64513.56911820953,176289.25703430176,2.7505617141723633,3,True,ok
light_V_8s_2026_05_20-0011_flat_0p3_late_bias_cal.fits,2461181.67410081,2.7596665173768997,49388.95955584321,49234.68875720852,221924.2614517212,4.493398189544678,7,True,ok
