file,jd,minutes,set,target_flux_rate,bright_comp_ensemble_flux_rate,diff_flux,diff_flux_err,n_bright_comps,good,reject_reason
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,0.0,generic_V,188007.7903671265,15747.93738937378,11.938566030494147,0.04401303543133256,2,True,ok
light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,0.2771667391061783,generic_V,169939.37365722656,11591.240175247192,14.661017379324768,6.728563116213932,3,True,ok
light_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.6725682872,0.5528334528207779,generic_V,198252.70974731445,14353.205131530762,13.812434778891152,5.966130132711803,3,True,ok
light_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6727600694,0.8289997279644012,generic_V,170249.80078125,13477.156893253326,12.632471531623793,0.05857443398112491,2,True,ok
light_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6729527777,1.10649973154068,generic_V,195226.19681549072,16361.167119503021,11.932290367156938,0.03964586907986963,2,True,ok
light_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6731434027,1.3809996843338013,generic_V,188454.54767608643,13204.750637054443,14.271723325638249,7.311593598506525,3,True,ok
light_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6733350693,1.6569996625185013,generic_V,200988.49668884277,14305.975640296936,14.049268763096471,6.662806921944641,3,True,ok
light_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.6735259257,1.931832879781723,generic_V,156232.16110992432,10707.888590812683,14.590379773279558,7.728677966079521,3,True,ok
light_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.6737177083,2.2079998254776,generic_V,200525.34380340576,14380.147987365724,13.944595283691491,6.337646405829635,3,True,ok
light_V_8s_2026_05_20-0010_flat_0p3_late_bias_cal.fits,2461181.6739096064,2.4843330681324005,generic_V,176289.25703430176,12524.789657592772,14.0752269581974,6.497976575834731,3,True,ok
light_V_8s_2026_05_20-0011_flat_0p3_late_bias_cal.fits,2461181.67410081,2.7596665173768997,generic_V,221924.2614517212,15863.536483764648,13.989583071772614,6.665382073525669,3,True,ok
light_V_8s_2026_05_20-0012_flat_0p3_late_bias_cal.fits,2461181.674292361,3.0354995280504227,generic_V,174590.44567871094,12000.863306045532,14.548157180555467,7.472754339107769,3,True,ok
light_V_8s_2026_05_20-0013_flat_0p3_late_bias_cal.fits,2461181.6744832178,3.310333415865898,generic_V,187004.49365615845,13381.456161499023,13.974898650731726,6.622917475991646,3,True,ok
light_V_8s_2026_05_20-0014_flat_0p3_late_bias_cal.fits,2461181.674675,3.5864996910095215,generic_V,156422.44482421875,10963.924249649048,14.267012546098702,7.323589737564399,3,True,ok
light_V_8s_2026_05_20-0015_flat_0p3_late_bias_cal.fits,2461181.6748667825,3.8626666367053986,generic_V,170918.1307373047,11781.837149620056,14.506916753879636,6.667755075679462,3,True,ok
light_V_8s_2026_05_20-0016_flat_0p3_late_bias_cal.fits,2461181.675058449,4.138666614890099,generic_V,185470.78840637207,12897.407718658447,14.3804702814857,6.641830571641625,3,True,ok
light_V_8s_2026_05_20-0017_flat_0p3_late_bias_cal.fits,2461181.6752502313,4.414832890033722,generic_V,209430.39459228516,14860.840133666992,14.092769500818733,6.669272506996038,3,True,ok
light_V_8s_2026_05_20-0018_flat_0p3_late_bias_cal.fits,2461181.67544213,4.691166803240776,generic_V,127894.95864868164,8979.598245620728,14.24283750234092,6.732127324990399,3,True,ok
light_V_8s_2026_05_20-0019_flat_0p3_late_bias_cal.fits,2461181.6756346063,4.968332871794701,generic_V,219931.70593070984,15115.830244064333,14.549760243376136,7.069660650132947,3,True,ok
light_V_8s_2026_05_20-0020_flat_0p3_late_bias_cal.fits,2461181.6758256946,5.2435000240802765,generic_V,196556.83554077148,13553.141326904297,14.502677335075607,7.87380072540128,3,True,ok
