file,jd,minutes,diff_flux,diff_flux_err,target_flux_rate,comparison_ensemble_flux_rate,n_comps,n_sources,good,reject_reason
light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,0.0,140.5334267801443,2056.6767719771406,213236.88902664185,1517.339282989502,11,27,True,ok
light_V0399_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.689252662,0.27516648173332214,149.42153334719225,2173.342173526592,212825.65330696106,1424.3305401802063,11,25,True,ok
light_V0399_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.68944375,0.5503329634666443,144.594739223925,2105.7796376361525,207401.86889648438,1434.3666305541992,11,27,True,ok
light_V0399_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6896349536,0.8256664127111435,148.36806111048654,2092.946896165205,213428.76544189453,1438.5088262557983,11,26,True,ok
light_V0399_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6898260415,1.1008328944444656,144.9209892938914,2080.6830395285547,194213.26579284668,1340.1320729255676,11,24,True,ok
light_V0399_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6900171298,1.3760000467300415,146.57960484015547,2135.0014381972633,216074.8966140747,1474.1129698753357,11,28,True,ok
light_V0399_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6902081016,1.6509995609521866,145.51317930388612,2110.6121535692682,215558.9920463562,1481.3709182739258,11,30,True,ok
light_V0399_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.690400463,1.9280000030994415,148.43686330751797,2191.005195299385,222153.91143798828,1496.6222438812256,11,29,True,ok
light_V0399_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.690591667,2.2033334523439407,138.0109189988479,1890.2947759733765,197853.26067352295,1433.605848789215,11,26,True,ok
light_V0399_V_8s_2026_05_20-0010_flat_0p3_late_bias_cal.fits,2461181.690783102,2.4790001660585403,148.33610960223973,2148.811961219411,226050.49810028076,1523.9074201583862,11,29,True,ok
light_V0399_V_8s_2026_05_20-0011_flat_0p3_late_bias_cal.fits,2461181.690974884,2.7551664412021637,142.84165765981496,2146.522147041657,191763.0636291504,1342.4869661331177,11,27,True,ok
light_V0399_V_8s_2026_05_20-0012_flat_0p3_late_bias_cal.fits,2461181.691166551,3.0311664193868637,144.27469601279068,2006.5709438730576,219161.3501586914,1519.0560522079468,11,29,True,ok
light_V0399_V_8s_2026_05_20-0013_flat_0p3_late_bias_cal.fits,2461181.6913577546,3.306499868631363,144.2027695843848,1999.2317288912707,197522.26099777222,1369.7535877227783,11,24,True,ok
light_V0399_V_8s_2026_05_20-0014_flat_0p3_late_bias_cal.fits,2461181.6915494213,3.582499846816063,140.56974771414062,1959.057020012057,221708.6342277527,1577.214427947998,11,30,True,ok
light_V0399_V_8s_2026_05_20-0015_flat_0p3_late_bias_cal.fits,2461181.6917408565,3.8581665605306625,144.4791339485166,2098.086974422102,159362.80712890625,1103.016074180603,11,19,True,ok
light_V0399_V_8s_2026_05_20-0016_flat_0p3_late_bias_cal.fits,2461181.691932523,4.1341665387153625,143.65492175216687,2019.3405854714656,221685.6000213623,1543.1813774108887,11,29,True,ok
light_V0399_V_8s_2026_05_20-0017_flat_0p3_late_bias_cal.fits,2461181.692123727,4.409499987959862,144.37346003752967,2107.8121948577004,223261.77835083008,1546.4184226989746,11,28,True,ok
