raw_file,reduced_file,flat,exptime,jd,max_adu_raw,max_adu_cal
light_AMCVn_V_35s_2026_05_20-0001.fit,light_AMCVn_V_35s_2026_05_20-0001_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,35.0,2461181.7833690974,50313.0,49694.392491641716
light_AMCVn_V_35s_2026_05_20-0002.fit,light_AMCVn_V_35s_2026_05_20-0002_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,35.0,2461181.7838724535,49058.0,48448.759475346385
light_AMCVn_V_35s_2026_05_20-0003.fit,light_AMCVn_V_35s_2026_05_20-0003_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,35.0,2461181.784376273,44144.0,43560.83269034939
light_AMCVn_V_35s_2026_05_20-0004.fit,light_AMCVn_V_35s_2026_05_20-0004_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,35.0,2461181.7848802083,48470.0,47878.88594803027
light_AMCVn_V_35s_2026_05_20-0005.fit,light_AMCVn_V_35s_2026_05_20-0005_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,35.0,2461181.785383102,43485.0,42847.94387448004
light_AMCVn_V_35s_2026_05_20-0006.fit,light_AMCVn_V_35s_2026_05_20-0006_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,35.0,2461181.785886574,50477.0,49890.82574168181
light_AMCVn_V_35s_2026_05_20-0007.fit,light_AMCVn_V_35s_2026_05_20-0007_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,35.0,2461181.7863908564,47488.0,46990.94337777099
light_AMCVn_V_35s_2026_05_20-0008.fit,light_AMCVn_V_35s_2026_05_20-0008_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,35.0,2461181.7868951387,39681.0,39114.93691369804
light_AMCVn_V_35s_2026_05_20-0009.fit,light_AMCVn_V_35s_2026_05_20-0009_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,35.0,2461181.7873987267,43692.0,43019.70807655867
light_AMCVn_V_35s_2026_05_20-0010.fit,light_AMCVn_V_35s_2026_05_20-0010_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,35.0,2461181.7879017363,43389.0,42802.43195535049
light_AMCVn_V_35s_2026_05_20-0011.fit,light_AMCVn_V_35s_2026_05_20-0011_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,35.0,2461181.78840625,31812.0,31306.256632306617
light_AMCVn_V_35s_2026_05_20-0012.fit,light_AMCVn_V_35s_2026_05_20-0012_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,35.0,2461181.788910301,45394.0,44701.867466910415
