raw_file,reduced_file,flat,exptime,jd,max_adu_raw,max_adu_cal
light_V0399_V_8s_2026_05_20-0001.fit,light_V0399_V_8s_2026_05_20-0001_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.689061574,49081.0,48190.56212702029
light_V0399_V_8s_2026_05_20-0002.fit,light_V0399_V_8s_2026_05_20-0002_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.689252662,49258.0,48427.33098987883
light_V0399_V_8s_2026_05_20-0003.fit,light_V0399_V_8s_2026_05_20-0003_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.68944375,47289.0,46471.564099937874
light_V0399_V_8s_2026_05_20-0004.fit,light_V0399_V_8s_2026_05_20-0004_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.6896349536,48882.0,48053.85798296273
light_V0399_V_8s_2026_05_20-0005.fit,light_V0399_V_8s_2026_05_20-0005_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.6898260415,46275.0,45548.05085481831
light_V0399_V_8s_2026_05_20-0006.fit,light_V0399_V_8s_2026_05_20-0006_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.6900171298,52584.0,51826.045586276785
light_V0399_V_8s_2026_05_20-0007.fit,light_V0399_V_8s_2026_05_20-0007_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.6902081016,52909.0,52132.72584740105
light_V0399_V_8s_2026_05_20-0008.fit,light_V0399_V_8s_2026_05_20-0008_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.690400463,53701.0,52995.32450160943
light_V0399_V_8s_2026_05_20-0009.fit,light_V0399_V_8s_2026_05_20-0009_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.690591667,45981.0,45201.02192531096
light_V0399_V_8s_2026_05_20-0010.fit,light_V0399_V_8s_2026_05_20-0010_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.690783102,51951.0,51062.55986545914
light_V0399_V_8s_2026_05_20-0011.fit,light_V0399_V_8s_2026_05_20-0011_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.690974884,42170.0,41573.54449742122
light_V0399_V_8s_2026_05_20-0012.fit,light_V0399_V_8s_2026_05_20-0012_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.691166551,50668.0,49906.31322333828
light_V0399_V_8s_2026_05_20-0013.fit,light_V0399_V_8s_2026_05_20-0013_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.6913577546,43390.0,42605.563617329186
light_V0399_V_8s_2026_05_20-0014.fit,light_V0399_V_8s_2026_05_20-0014_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.6915494213,52917.0,52164.29621621929
light_V0399_V_8s_2026_05_20-0015.fit,light_V0399_V_8s_2026_05_20-0015_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.6917408565,33747.0,33226.049179825925
light_V0399_V_8s_2026_05_20-0016.fit,light_V0399_V_8s_2026_05_20-0016_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.691932523,52377.0,51610.426524658214
light_V0399_V_8s_2026_05_20-0017.fit,light_V0399_V_8s_2026_05_20-0017_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.692123727,54026.0,53492.879815622415
light_V0399_V_8s_2026_05_20-0018.fit,light_V0399_V_8s_2026_05_20-0018_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.6923153936,55851.0,55353.203318418724
light_V0399_V_8s_2026_05_20-0019.fit,light_V0399_V_8s_2026_05_20-0019_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.6925069443,53423.0,52925.01893103827
light_V0399_V_8s_2026_05_20-0020.fit,light_V0399_V_8s_2026_05_20-0020_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.692698148,56793.0,56073.620176299424
light_V0399_V_8s_2026_05_20-0021.fit,light_V0399_V_8s_2026_05_20-0021_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.6928898147,55739.0,55117.87041178481
light_V0399_V_8s_2026_05_20-0022.fit,light_V0399_V_8s_2026_05_20-0022_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.6930810185,53270.0,52581.55166966539
light_V0399_V_8s_2026_05_20-0023.fit,light_V0399_V_8s_2026_05_20-0023_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.693271991,50970.0,50264.42293232726
light_V0399_V_8s_2026_05_20-0024.fit,light_V0399_V_8s_2026_05_20-0024_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.6934636575,46849.0,46119.36126029699
light_V0399_V_8s_2026_05_20-0025.fit,light_V0399_V_8s_2026_05_20-0025_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.6936555556,54509.0,53785.37262271918
light_V0399_V_8s_2026_05_20-0026.fit,light_V0399_V_8s_2026_05_20-0026_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.6938471063,49513.0,48690.0376977813
light_V0399_V_8s_2026_05_20-0027.fit,light_V0399_V_8s_2026_05_20-0027_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.6940381946,55010.0,53968.50483935312
light_V0399_V_8s_2026_05_20-0028.fit,light_V0399_V_8s_2026_05_20-0028_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.6942291665,52059.0,51046.766084634975
light_V0399_V_8s_2026_05_20-0029.fit,light_V0399_V_8s_2026_05_20-0029_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.694420139,55678.0,55019.117240969405
light_V0399_V_8s_2026_05_20-0030.fit,light_V0399_V_8s_2026_05_20-0030_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.6946113426,64089.0,63033.16290272377
light_V0399_V_8s_2026_05_20-0031.fit,light_V0399_V_8s_2026_05_20-0031_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.6948032407,62526.0,61857.06430268249
light_V0399_V_8s_2026_05_20-0032.fit,light_V0399_V_8s_2026_05_20-0032_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.6949944445,55839.0,55120.76991432384
light_V0399_V_8s_2026_05_20-0033.fit,light_V0399_V_8s_2026_05_20-0033_flat_6s_masked_clipmean_cal.fits,flat_6s_masked_clipmean,8.0,2461181.695186111,51440.0,50738.879881558365
