raw_file,reduced_file,flat,exptime,jd,max_adu_raw,max_adu_cal
light_V0399_V_8s_2026_05_20-0001.fit,light_V0399_V_8s_2026_05_20-0001_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.689061574,49081.0,48154.33913301905
light_V0399_V_8s_2026_05_20-0002.fit,light_V0399_V_8s_2026_05_20-0002_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.689252662,49258.0,48384.626036680536
light_V0399_V_8s_2026_05_20-0003.fit,light_V0399_V_8s_2026_05_20-0003_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.68944375,47289.0,46430.583811960525
light_V0399_V_8s_2026_05_20-0004.fit,light_V0399_V_8s_2026_05_20-0004_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6896349536,48882.0,48011.482371624814
light_V0399_V_8s_2026_05_20-0005.fit,light_V0399_V_8s_2026_05_20-0005_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6898260415,46275.0,45815.68830058066
light_V0399_V_8s_2026_05_20-0006.fit,light_V0399_V_8s_2026_05_20-0006_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6900171298,52584.0,52130.5721292212
light_V0399_V_8s_2026_05_20-0007.fit,light_V0399_V_8s_2026_05_20-0007_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6902081016,52909.0,51951.18720453017
light_V0399_V_8s_2026_05_20-0008.fit,light_V0399_V_8s_2026_05_20-0008_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.690400463,53701.0,52785.030743782496
light_V0399_V_8s_2026_05_20-0009.fit,light_V0399_V_8s_2026_05_20-0009_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.690591667,45981.0,45251.063905697134
light_V0399_V_8s_2026_05_20-0010.fit,light_V0399_V_8s_2026_05_20-0010_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.690783102,51951.0,51179.12832738272
light_V0399_V_8s_2026_05_20-0011.fit,light_V0399_V_8s_2026_05_20-0011_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.690974884,42170.0,41578.26723979601
light_V0399_V_8s_2026_05_20-0012.fit,light_V0399_V_8s_2026_05_20-0012_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.691166551,50668.0,49971.252529656944
light_V0399_V_8s_2026_05_20-0013.fit,light_V0399_V_8s_2026_05_20-0013_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6913577546,43390.0,42701.71811106129
light_V0399_V_8s_2026_05_20-0014.fit,light_V0399_V_8s_2026_05_20-0014_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6915494213,52917.0,52359.99727535362
light_V0399_V_8s_2026_05_20-0015.fit,light_V0399_V_8s_2026_05_20-0015_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.6917408565,33747.0,33121.75897361472
light_V0399_V_8s_2026_05_20-0016.fit,light_V0399_V_8s_2026_05_20-0016_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.691932523,52377.0,51528.14391820085
light_V0399_V_8s_2026_05_20-0017.fit,light_V0399_V_8s_2026_05_20-0017_flat_4s_masked_clipmean_cal.fits,flat_4s_masked_clipmean,8.0,2461181.692123727,54026.0,53328.50134905987
