raw_file,reduced_file,flat,exptime,jd,max_adu_raw,max_adu_cal
light_V0399_V_8s_2026_05_20-0001.fit,light_V0399_V_8s_2026_05_20-0001_no_flat_cal.fits,no_flat,8.0,2461181.689061574,49081.0,48579.0
light_V0399_V_8s_2026_05_20-0002.fit,light_V0399_V_8s_2026_05_20-0002_no_flat_cal.fits,no_flat,8.0,2461181.689252662,49258.0,48755.0
light_V0399_V_8s_2026_05_20-0003.fit,light_V0399_V_8s_2026_05_20-0003_no_flat_cal.fits,no_flat,8.0,2461181.68944375,47289.0,46786.0
light_V0399_V_8s_2026_05_20-0004.fit,light_V0399_V_8s_2026_05_20-0004_no_flat_cal.fits,no_flat,8.0,2461181.6896349536,48882.0,48379.0
light_V0399_V_8s_2026_05_20-0005.fit,light_V0399_V_8s_2026_05_20-0005_no_flat_cal.fits,no_flat,8.0,2461181.6898260415,46275.0,45773.0
light_V0399_V_8s_2026_05_20-0006.fit,light_V0399_V_8s_2026_05_20-0006_no_flat_cal.fits,no_flat,8.0,2461181.6900171298,52584.0,52082.0
light_V0399_V_8s_2026_05_20-0007.fit,light_V0399_V_8s_2026_05_20-0007_no_flat_cal.fits,no_flat,8.0,2461181.6902081016,52909.0,52408.0
light_V0399_V_8s_2026_05_20-0008.fit,light_V0399_V_8s_2026_05_20-0008_no_flat_cal.fits,no_flat,8.0,2461181.690400463,53701.0,53200.0
light_V0399_V_8s_2026_05_20-0009.fit,light_V0399_V_8s_2026_05_20-0009_no_flat_cal.fits,no_flat,8.0,2461181.690591667,45981.0,45480.0
light_V0399_V_8s_2026_05_20-0010.fit,light_V0399_V_8s_2026_05_20-0010_no_flat_cal.fits,no_flat,8.0,2461181.690783102,51951.0,51448.0
light_V0399_V_8s_2026_05_20-0011.fit,light_V0399_V_8s_2026_05_20-0011_no_flat_cal.fits,no_flat,8.0,2461181.690974884,42170.0,41668.0
light_V0399_V_8s_2026_05_20-0012.fit,light_V0399_V_8s_2026_05_20-0012_no_flat_cal.fits,no_flat,8.0,2461181.691166551,50668.0,50166.0
light_V0399_V_8s_2026_05_20-0013.fit,light_V0399_V_8s_2026_05_20-0013_no_flat_cal.fits,no_flat,8.0,2461181.6913577546,43390.0,42887.0
light_V0399_V_8s_2026_05_20-0014.fit,light_V0399_V_8s_2026_05_20-0014_no_flat_cal.fits,no_flat,8.0,2461181.6915494213,52917.0,52415.0
light_V0399_V_8s_2026_05_20-0015.fit,light_V0399_V_8s_2026_05_20-0015_no_flat_cal.fits,no_flat,8.0,2461181.6917408565,33747.0,33246.0
light_V0399_V_8s_2026_05_20-0016.fit,light_V0399_V_8s_2026_05_20-0016_no_flat_cal.fits,no_flat,8.0,2461181.691932523,52377.0,51875.0
light_V0399_V_8s_2026_05_20-0017.fit,light_V0399_V_8s_2026_05_20-0017_no_flat_cal.fits,no_flat,8.0,2461181.692123727,54026.0,53525.0
light_V0399_V_8s_2026_05_20-0018.fit,light_V0399_V_8s_2026_05_20-0018_no_flat_cal.fits,no_flat,8.0,2461181.6923153936,55851.0,55349.0
light_V0399_V_8s_2026_05_20-0019.fit,light_V0399_V_8s_2026_05_20-0019_no_flat_cal.fits,no_flat,8.0,2461181.6925069443,53423.0,52921.0
light_V0399_V_8s_2026_05_20-0020.fit,light_V0399_V_8s_2026_05_20-0020_no_flat_cal.fits,no_flat,8.0,2461181.692698148,56793.0,56291.0
light_V0399_V_8s_2026_05_20-0021.fit,light_V0399_V_8s_2026_05_20-0021_no_flat_cal.fits,no_flat,8.0,2461181.6928898147,55739.0,55238.0
light_V0399_V_8s_2026_05_20-0022.fit,light_V0399_V_8s_2026_05_20-0022_no_flat_cal.fits,no_flat,8.0,2461181.6930810185,53270.0,52766.0
light_V0399_V_8s_2026_05_20-0023.fit,light_V0399_V_8s_2026_05_20-0023_no_flat_cal.fits,no_flat,8.0,2461181.693271991,50970.0,50467.0
light_V0399_V_8s_2026_05_20-0024.fit,light_V0399_V_8s_2026_05_20-0024_no_flat_cal.fits,no_flat,8.0,2461181.6934636575,46849.0,46347.0
light_V0399_V_8s_2026_05_20-0025.fit,light_V0399_V_8s_2026_05_20-0025_no_flat_cal.fits,no_flat,8.0,2461181.6936555556,54509.0,54007.0
light_V0399_V_8s_2026_05_20-0026.fit,light_V0399_V_8s_2026_05_20-0026_no_flat_cal.fits,no_flat,8.0,2461181.6938471063,49513.0,49010.0
light_V0399_V_8s_2026_05_20-0027.fit,light_V0399_V_8s_2026_05_20-0027_no_flat_cal.fits,no_flat,8.0,2461181.6940381946,55010.0,54509.0
light_V0399_V_8s_2026_05_20-0028.fit,light_V0399_V_8s_2026_05_20-0028_no_flat_cal.fits,no_flat,8.0,2461181.6942291665,52059.0,51558.0
light_V0399_V_8s_2026_05_20-0029.fit,light_V0399_V_8s_2026_05_20-0029_no_flat_cal.fits,no_flat,8.0,2461181.694420139,55678.0,55175.0
light_V0399_V_8s_2026_05_20-0030.fit,light_V0399_V_8s_2026_05_20-0030_no_flat_cal.fits,no_flat,8.0,2461181.6946113426,64089.0,63587.0
light_V0399_V_8s_2026_05_20-0031.fit,light_V0399_V_8s_2026_05_20-0031_no_flat_cal.fits,no_flat,8.0,2461181.6948032407,62526.0,62023.0
light_V0399_V_8s_2026_05_20-0032.fit,light_V0399_V_8s_2026_05_20-0032_no_flat_cal.fits,no_flat,8.0,2461181.6949944445,55839.0,55336.0
light_V0399_V_8s_2026_05_20-0033.fit,light_V0399_V_8s_2026_05_20-0033_no_flat_cal.fits,no_flat,8.0,2461181.695186111,51440.0,50937.0
