sequence,file,jd,diff_flux,target_flux_rate,comparison_ensemble_flux_rate,n_comps,good,reject_reason,check_diff_flux,minutes_combined,diff_flux_norm,check_diff_flux_norm,target_x,target_y,raw_target_rate,raw_target_rate_err,n_sources,comp_x_med,comp_y_med,comp_match_dist_med,comp_match_dist_max,n_sep_sources,resid_const,minutes_centered,target_x_rel,target_y_rel,comp_x_med_rel,comp_y_med_rel,radius_rel,raw_target_norm,ensemble_norm,seq_named,target_x_rel_named_interaction,target_y_rel_named_interaction,minutes_centered_named_interaction
V_8 generic,light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,115.9404543027488,188007.7903671265,1621.5892157554626,4,True,ok,170.09982141638636,0.0,0.9733630473263188,0.97944167805172,1846.182855162854,714.9477537747637,188007.7903671265,693.1145262889149,19,1179.1715877076035,1151.7779987009812,0.05344351691019521,0.3003646755943414,19,-0.02747320880080739,-1.6960271082374205,-12.792095008763681,90.64004190532182,-40.26906441516212,-15.51018352171559,91.53827009132155,0.9064808199769168,0.9311050534251186,0.0,-0.0,0.0,-0.0
V_8 generic,light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,121.17583263624476,169939.37365722656,1402.419690132141,4,True,ok,174.18136235657377,0.2771667391061783,1.0173159871284272,1.002943356502682,1846.2800691734449,713.5418331515764,169939.37365722656,801.7164306733878,17,1179.465345189382,1150.1830574083178,0.49351851579413025,1.1276789933206093,17,0.016479731001300957,-1.678571652784982,-12.69488099817272,89.23412128213454,-39.975306933383536,-17.105124814378996,90.13261565356052,0.819363827841156,0.8052594626417654,0.0,-0.0,0.0,-0.0
V_8 generic,light_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.6725682872,116.01758167440926,198252.70974731445,1708.8160853385923,4,True,ok,174.97177847511313,0.5528334528207779,0.9740105601721428,1.007494604605443,1846.9915506363493,713.3496788357897,198252.70974731445,618.5665699317643,20,1179.9278974647846,1150.159049838785,0.6620050500354742,1.1069487214799143,20,-0.02682569595498341,-1.6612106661944448,-11.98339953526829,89.0419669663479,-39.51275465798108,-17.129132383911838,89.84472018798911,0.9558767673587547,0.9811901047279965,0.0,-0.0,0.0,-0.0
V_8 generic,light_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6727600694,118.01104773893312,170249.80078125,1442.6598529815674,4,True,ok,174.93323687462603,0.8289997279644012,0.9907464459764176,1.007272680504985,1848.078894105372,714.3136277952666,170249.80078125,789.4168366971295,17,1181.2747203898002,1151.073505206511,0.4234602092283808,0.9236220805127144,17,-0.010089810150708645,-1.643818218136712,-10.896056066245592,90.00591592582475,-38.16593173296542,-16.21467701618576,90.66305167732554,0.8208605542979606,0.828365079413085,0.0,-0.0,0.0,-0.0
V_8 generic,light_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6729527777,118.60388701208788,195226.19681549072,1646.0354018211365,4,True,ok,173.41689105913304,1.10649973154068,0.995723551206537,0.9985414997332096,1849.3380563283936,714.9581307711196,195226.19681549072,648.6526896136845,21,1182.649064577288,1151.5582200976014,0.12939451897957435,0.5592688929748356,21,-0.005112704920589239,-1.6263417742960908,-9.636893843224016,90.65041890167777,-36.79158754547757,-15.729962125095426,91.16122075748672,0.941284414995307,0.9451418804843781,0.0,-0.0,0.0,-0.0
V_8 generic,light_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6731434027,116.7302783131929,188454.54767608643,1614.444430351257,4,True,ok,171.51075845778314,1.3809996843338013,0.9799939123706276,0.9875659108224776,1836.0633166775551,633.2956601566749,188454.54767608643,708.8327093263193,20,1195.3742057205823,1176.6878308768944,0.43254280290343805,0.610556044731178,20,-0.020842343756498627,-1.6090542681792719,-22.91163349406247,8.987948287233053,-24.066446402183374,9.399648654197563,24.611504703699463,0.9086348633331303,0.9270025682020687,0.0,-0.0,0.0,-0.0
V_8 generic,light_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6733350693,118.08671571023592,200988.49668884277,1702.041550397873,4,True,ok,166.53665975953106,1.6569996625185013,0.9913817066158142,0.958924848561247,1835.8303733601165,633.542843628741,200988.49668884277,615.404791502056,21,1195.2557069961638,1177.0351607382863,1.0539792465881344,1.888902224074306,21,-0.009454549511312083,-1.5916722932005518,-23.14457681150111,9.235131759299179,-24.18494512660186,9.74697851558949,24.9190508325476,0.9690673824135676,0.9773002147012118,0.0,-0.0,0.0,-0.0
V_8 generic,light_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.6735259257,120.80932529473364,156232.16110992432,1293.212760925293,4,True,ok,176.91533666202994,1.931832879781723,1.0142390222765456,1.0186856915574107,1835.188559018229,632.2938711344638,156232.16110992432,819.6037312498909,15,1194.8003745328274,1175.7569521766263,0.8351956024698276,1.4850404338970635,15,0.013402766149419376,-1.5743637986955503,-23.78639115338865,7.986159265021911,-24.64027758993825,8.468769953929495,25.091256323833232,0.7532744107738459,0.7425536166324457,0.0,-0.0,0.0,-0.0
V_8 generic,light_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.6737177083,119.69159477666648,200525.34380340576,1675.3502547740936,4,True,ok,174.26508038065893,2.2079998254776,1.0048552606749692,1.0034254082844556,1834.8841906583505,631.7515513319121,200525.34380340576,618.7632098092342,21,1194.1294078633216,1174.9427200891794,0.8244940010775267,1.5814113684978248,21,0.004019004547842986,-1.5569713084076602,-24.09075951326713,7.443839462470237,-25.311244259444038,7.654537866482542,25.214587838572733,0.9668342876756008,0.9619742616199398,0.0,-0.0,0.0,-0.0
V_8 generic,light_V_8s_2026_05_20-0010_flat_0p3_late_bias_cal.fits,2461181.6739096064,117.9761524062034,176289.25703430176,1494.2787456512451,4,True,ok,168.1027694111942,2.4843330681324005,0.990453486736198,0.9679425715221848,1835.7398028357868,629.6792331213811,176289.25703430176,713.8642152613102,19,1195.072509870404,1172.962618903417,0.6881412338425511,1.0454603761751309,19,-0.010382769390928193,-1.5395683450407573,-23.23514733583079,5.371521251939271,-24.368142252361622,5.674436680720191,23.847962434509995,0.8499798330565196,0.858004282332028,0.0,-0.0,0.0,-0.0
V_8 generic,light_V_8s_2026_05_20-0011_flat_0p3_late_bias_cal.fits,2461181.67410081,119.28216756469875,221924.2614517212,1860.4982285499573,4,True,ok,173.27716254230953,2.7596665173768997,1.0014179676171155,0.9977369372601294,1836.7125334539896,629.8931269736328,221924.2614517212,537.3336386838638,23,1196.0948372467274,1173.3432233007952,0.6519653140502584,1.0274178053207614,23,0.0005817114899893117,-1.5222283468384028,-22.262416717627957,5.585415104190929,-23.345814876038276,6.055041078098384,22.95238680389133,1.0700093123838066,1.0682849180668097,0.0,-0.0,0.0,-0.0
V_8 generic,light_V_8s_2026_05_20-0012_flat_0p3_late_bias_cal.fits,2461181.674292361,117.79789282346216,174590.44567871094,1482.118580341339,4,True,ok,169.64447757707808,3.0354995280504227,0.9889569315284784,0.9768197897372644,1836.839905278434,630.4152468959002,174590.44567871094,733.6762901682647,20,1196.299332305416,1173.8844495085896,0.3231271692276412,0.595295489268985,20,-0.011879324598647822,-1.5048568871688528,-22.135044893183704,6.107535026458322,-23.14131981734954,6.596267285892736,22.962190586324144,0.8417890027319092,0.8510220014556327,0.0,-0.0,0.0,-0.0
V_8 generic,light_V_8s_2026_05_20-0013_flat_0p3_late_bias_cal.fits,2461181.6744832178,118.52425250504652,187004.49365615845,1577.7740817070007,4,True,ok,175.66541381362234,3.310333415865898,0.995054990030783,1.0114885850473294,1838.0423133443512,629.7115337947264,187004.49365615845,690.5444224025815,21,1197.512508676617,1173.3873674308395,0.27159028028368637,0.3974564879862296,21,-0.005781266096343218,-1.487548350433694,-20.93263682726638,5.4038219252845465,-21.928143446148624,6.099185208142671,21.618893957425634,0.9016434181678613,0.9059467134875805,0.0,-0.0,0.0,-0.0
V_8 generic,light_V_8s_2026_05_20-0014_flat_0p3_late_bias_cal.fits,2461181.674675,117.05105625250124,156422.44482421875,1336.3608140945437,4,True,ok,174.46188878337483,3.5864996910095215,0.9826869619571412,1.0045586390580428,1839.0915497993944,629.3492986607052,156422.44482421875,800.7390666858046,18,1417.3142437256213,1095.9478929064064,0.5551319365932353,0.8598488808320606,18,-0.01814929416998501,-1.4701559023759612,-19.88340037222315,5.0415867912633985,197.87359160285564,-71.34028931629041,20.51261094390388,0.7541918649762759,0.7673289234493624,0.0,-0.0,0.0,-0.0
V_8 generic,light_V_8s_2026_05_20-0015_flat_0p3_late_bias_cal.fits,2461181.6748667825,120.36038682178352,170918.1307373047,1420.0530195236206,4,True,ok,176.70043108465563,3.8626666367053986,1.010470017551485,1.0174482565173648,1839.5291409708257,629.2553703645111,170918.1307373047,776.8678860616122,19,1198.6525941564184,1172.5905358351388,1.2670896612197946,2.0322092643723924,19,0.009633761424358678,-1.452763412088071,-19.445809200791928,4.947658495069277,-20.788057966347196,5.302353612441948,20.065363691132916,0.8240829116555817,0.8153843956060409,0.0,-0.0,0.0,-0.0
V_8 generic,light_V_8s_2026_05_20-0016_flat_0p3_late_bias_cal.fits,2461181.675058449,119.62846987050602,185470.78840637207,1550.3900418281555,4,True,ok,177.18130735020716,4.138666614890099,1.0043253037122155,1.0202171615787885,1840.668310328686,628.9336290406833,185470.78840637207,692.544713545109,23,1200.0927337491607,1172.4789725421156,0.4252565855044804,0.6551247083006926,23,0.0034890475850892777,-1.435381437109351,-18.306639842931645,4.62591717124144,-19.347918373604898,5.190790319418738,18.882059527869274,0.8942486480377809,0.8902229915568638,0.0,-0.0,0.0,-0.0
V_8 generic,light_V_8s_2026_05_20-0017_flat_0p3_late_bias_cal.fits,2461181.6752502313,120.253450658801,209430.39459228516,1741.574927330017,4,True,ok,171.5591894282655,4.414832890033722,1.0095722488641357,0.9878447783168932,1840.7743473286616,629.4291321704884,209430.39459228516,631.2210017222166,23,1200.2794631082825,1173.008837801743,0.33874978242856896,0.6604484958929572,23,0.008735992737009424,-1.4179889890516182,-18.20060284295596,5.121420301046555,-19.16118901448317,5.720655579046252,18.90742948544271,1.0097700496739552,1.0,0.0,-0.0,0.0,-0.0
V_8 generic,light_V_8s_2026_05_20-0018_flat_0p3_late_bias_cal.fits,2461181.67544213,118.92487029355858,127894.95864868164,1075.426513671875,4,True,ok,175.1578038424753,4.691166803240776,0.9984183247165432,1.008565746223654,1840.001409997533,629.4824966652319,127894.95864868164,915.6645877305812,16,1199.2124108932385,1173.1564565994047,0.6719745332691616,1.2938972192813512,16,-0.0024179314105829963,-1.400585983454558,-18.97354017408452,5.17478479579006,-20.228241229527157,5.868274376707859,19.666561072550003,0.616646399387938,0.6175022945011017,0.0,-0.0,0.0,-0.0
V_8 generic,light_V_8s_2026_05_20-0019_flat_0p3_late_bias_cal.fits,2461181.6756346063,118.34546213323148,219931.70593070984,1858.3873176574707,4,True,ok,173.71249826739944,4.968332871794701,0.9935539786522348,1.000243618040553,1840.4392982263391,629.3408666483862,219931.70593070984,564.9035571449704,24,1199.7891403212293,1172.9534816059013,0.4108989734075347,0.6432595549124741,24,-0.007282277474891408,-1.3831305702322767,-18.53565194527846,5.033154778944322,-19.651511801536344,5.665299383204456,19.206848780195966,1.0604021925989888,1.0670728479690144,0.0,-0.0,0.0,-0.0
V_8 generic,light_V_8s_2026_05_20-0020_flat_0p3_late_bias_cal.fits,2461181.6758256946,119.05036423935442,196556.83554077148,1651.0393462181091,4,True,ok,174.37813015105164,5.2435000240802765,0.99947189286267,1.0040763534523858,1842.1933139951416,628.6851398069822,196556.83554077148,682.5182789360294,23,1201.4719211137217,1172.1041137041439,0.7488632550946789,0.9833840736515186,23,-0.0013643632644562143,-1.365801045108935,-16.781636176476013,4.377427937540347,-17.96873100904395,4.8159314814470235,17.343159692165877,0.9477000985179428,0.948015109949529,0.0,-0.0,0.0,-0.0
V_8 generic,light_V_8s_2026_05_20-0021_flat_0p3_late_bias_cal.fits,2461181.676017361,121.1719501066232,203771.92554092407,1681.6757125854492,4,True,ok,175.74234722953457,5.5195000022649765,1.01728339185453,1.011931570779777,1843.5778912191363,628.1389658968611,203771.92554092407,606.1662246339781,23,1202.8827945605658,1171.5002385956104,0.4400542492426265,0.8975865276715879,23,0.01644713572740386,-1.348419070130215,-15.397058952481302,3.831254027419277,-16.557857562199843,4.212056372913594,15.866566478252345,0.9824877032590768,0.965606294736685,0.0,-0.0,0.0,-0.0
V_8 generic,light_V_8s_2026_05_20-0022_flat_0p3_late_bias_cal.fits,2461181.676209028,119.2547391320783,208552.9726257324,1748.8023884296415,4,True,ok,170.40874057797132,5.7954999804496765,1.0011876957683516,0.9812204471267588,1844.7863222394112,628.3283878238909,208552.9726257324,608.8162892719504,23,1204.004486519382,1171.9670984730712,0.2357712068828926,0.3595876725275951,23,0.00035143964122541504,-1.331037095151495,-14.188627932206373,4.020675954449075,-15.436165603383643,4.678916250374414,14.747304761524116,1.005539553787836,1.0041499570223515,0.0,-0.0,0.0,-0.0
V_8 generic,light_V_8s_2026_05_20-0023_flat_0p3_late_bias_cal.fits,2461181.6764001157,117.79591350005212,220583.2804965973,1872.5885639190672,4,True,ok,174.03960643096494,6.070666462182999,0.9889403143754958,1.0021271201274995,1845.068551454848,626.8479722580109,220583.2804965973,570.0886994224104,23,1204.4011008025398,1170.5241669571783,0.4554337651737227,0.8131806956102772,23,-0.011895941751630446,-1.3137076122583105,-13.906398716769672,2.540260388569095,-15.039551320225883,3.2359847344814625,14.136507634897184,1.0635437637307403,1.075227103085312,0.0,-0.0,0.0,-0.0
V_8 generic,light_V_8s_2026_05_20-0024_flat_0p3_late_bias_cal.fits,2461181.6765917824,123.41626210036964,158948.5138130188,1287.9057517051697,4,True,ok,176.9373650080691,6.346666440367699,1.0361252221244002,1.0188125316682914,1845.6086172746243,626.6291765236346,158948.5138130188,808.1224694597778,19,1205.164500320037,1170.131531716874,0.1976834695456518,0.6616014881636637,19,0.035288965997273936,-1.2963256372795904,-13.366332896993299,2.3214646541927095,-14.276151802728691,2.8433494941771187,13.566431117059171,0.7663713235179369,0.739506369490309,0.0,-0.0,0.0,-0.0
V_8 generic,light_V_8s_2026_05_20-0025_flat_0p3_late_bias_cal.fits,2461181.676783449,113.86468178708424,221125.41875839233,1942.00181555748,4,True,ok,172.68470524685384,6.622666418552399,0.9559361683861388,0.9943255440981422,1845.9597307060703,627.0296645873835,221125.41875839233,545.8957326567789,23,1205.2586068705236,1170.6290141275695,0.5166131765894124,0.6869367895048613,23,-0.044900087740987416,-1.2789436623008703,-13.015219465547261,2.72195271794169,-14.182045252242006,3.34083190487263,13.296802786199038,1.0661576869896288,1.1150837010123558,0.0,-0.0,0.0,-0.0
