sequence,feature,N,pearson_r,pearson_p,spearman_rho,spearman_p
V0399 named,target_y_rel,107,0.1307963152502643,0.1793195974752497,0.10273516330649111,0.29233731698367615
V0399 named,target_x_rel,107,0.12410685279258728,0.20279707485689882,0.08785438586179196,0.3682052105375275
V0399 named,minutes_combined,107,0.11749839288418708,0.22808081320131518,0.08514077470169872,0.38323926027530897
V0399 named,raw_target_norm,107,0.08803783080402439,0.3672021146801565,0.08080095613158564,0.4080395566021397
V0399 named,radius_rel,107,-0.07138888724710687,0.46495512913428955,-0.11811555869041321,0.22562994335361086
V0399 named,ensemble_norm,107,-0.06487144982886447,0.5067840167179471,-0.06277552459883619,0.5206381196041402
V0399 named,n_sources,107,-0.031840084960269285,0.7447493305184664,-0.03937292295881718,0.6872063072452252
V0399 named,comp_match_dist_med,107,-0.01968374301496678,0.8405123230788157,-0.009786633750661258,0.9203069564398164
V0399 named,comp_match_dist_max,107,-0.0030639813686179976,0.9750128441525237,0.008307372793354102,0.9323215956857936
V_8 generic,minutes_combined,83,0.2759637098811077,0.011561181538877693,0.29369044120733806,0.007043671375395469
V_8 generic,target_x_rel,83,0.25766624908258834,0.018687401714855226,0.2691322782418874,0.013881931686938012
V_8 generic,target_y_rel,83,-0.21749279146538297,0.0482550360496735,-0.31705218084883086,0.0034955767682064943
V_8 generic,n_sources,83,0.1267638445887642,0.25346525586768603,0.1692939597572519,0.12601236070846897
V_8 generic,radius_rel,83,-0.11818566414719753,0.28727062978804885,0.04004869652827337,0.7192420925152283
V_8 generic,ensemble_norm,83,-0.07377983981159518,0.507409469270111,0.004575794467066873,0.9672516831336838
V_8 generic,comp_match_dist_max,83,0.056151430381034664,0.6141181915591947,-0.004764703412954955,0.9659004804597177
V_8 generic,raw_target_norm,83,0.04920348629701135,0.6586812843128659,0.13173250493262248,0.2351799473950422
V_8 generic,comp_match_dist_med,83,-0.009170804225900699,0.9344203807601142,-0.08322488560513831,0.45445109824015417
combined,target_x_rel,190,0.18596412927962,0.010203041341432649,0.18281138396227214,0.011584191908244832
combined,target_y_rel,190,-0.11495066072541824,0.11427434620243851,-0.05193002223273436,0.47673561609291765
combined,radius_rel,190,-0.09450980862467502,0.19461868319779407,-0.043591526810044315,0.5503828012384815
combined,minutes_combined,190,0.08748280554969776,0.2300568887984302,0.09792456708962635,0.17890877472549555
combined,ensemble_norm,190,-0.0688786623267868,0.3450247237612264,-0.035170839476897815,0.6299860328811102
combined,raw_target_norm,190,0.06696459232126778,0.3586277663828295,0.096083181812823,0.18725982786755901
combined,n_sources,190,0.03888798633139936,0.594242508943661,0.04749125757531133,0.5152600040069463
combined,comp_match_dist_med,190,-0.007283450860695692,0.9205553014422931,-0.01127338415847647,0.8773161525254952
combined,comp_match_dist_max,190,0.005241723507281484,0.9427802714771942,0.010662782610977709,0.8839130396590515
