model,N,k,r2,adj_r2,loocv_r2,rms_pct,loocv_rms_pct,cols
throughput,190,3,0.9889469446542138,0.9887686695679915,0.9878822855995226,0.14817144089767445,0.15514353691309488,"raw_target_norm,ensemble_norm,seq_named"
position_throughput,190,5,0.9889656350139266,0.9886657881393051,0.987581276282447,0.14804611133196882,0.15705863350867738,"target_x_rel,target_y_rel,raw_target_norm,ensemble_norm,seq_named"
seq_specific_time,190,3,0.04329344074846153,0.027862689792791606,0.0009430095519942228,1.3785188454822617,1.4086998337421957,"minutes_centered,minutes_centered_named_interaction,seq_named"
time_only,190,2,0.03115484986477024,0.020792869649420176,-0.0009909375003929188,1.387236530490798,1.410062635744915,"minutes_centered,seq_named"
position_xy,190,3,0.047037571439707326,0.03166720968873482,-0.0016241221723667376,1.3758187414669454,1.4105085383335443,"target_x_rel,target_y_rel,seq_named"
position_xy_plus_time,190,4,0.048698004461136146,0.02812931266570129,-0.011944190859414006,1.3746196119039478,1.4177563877845856,"target_x_rel,target_y_rel,minutes_centered,seq_named"
seq_specific_position_xy,190,5,0.04911857649137075,0.023279407374288352,-0.02529077851447048,1.3743157176224932,1.4270751954018195,"target_x_rel,target_y_rel,target_x_rel_named_interaction,target_y_rel_named_interaction,seq_named"
position_radius,190,2,0.00918007274358934,-0.0014169318259977803,-0.027854983633689434,1.402880563112465,1.4288586057820813,"radius_rel,seq_named"
seq_specific_pos_plus_time,190,7,0.06439533304863809,0.02841053816589345,-0.034494367224896516,1.3632312140314427,1.433466001775498,"target_x_rel,target_y_rel,minutes_centered,target_x_rel_named_interaction,target_y_rel_named_interaction,minutes_centered_named_interaction,seq_named"
solve_quality,190,4,0.012909216527794087,-0.008433286898632097,-0.04623976760895632,1.4002380672581982,1.4415806480596938,"n_sources,comp_match_dist_med,comp_match_dist_max,seq_named"
