flat,sequence,file,jd,target_rate,dn_rate,ensemble_rate,diff_flux,check_diff_flux,n_comps,good,reject_reason,minutes_combined,diff_flux_norm,check_diff_flux_norm
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0001_flat_6s_masked_clipmean_cal.fits,2461181.672184375,187999.7392578125,275786.3699493408,1209.7756843566895,155.400494231113,227.96488102337173,8,True,ok,0.0,0.9833231758086061,0.9904878139224617
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0002_flat_6s_masked_clipmean_cal.fits,2461181.672376852,169835.45947265625,244144.47146606445,1047.614486694336,162.1163716517118,233.04801009047029,8,True,ok,0.2771667391061783,1.0258190375253853,1.0125735728119636
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0003_flat_6s_masked_clipmean_cal.fits,2461181.6725682872,198108.19921875,298870.8923339844,1280.7439546585083,154.68212713256386,233.35725399826222,8,True,ok,0.5528334528207779,0.978777585266975,1.0139172110110695
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0004_flat_6s_masked_clipmean_cal.fits,2461181.6727600694,170143.2893218994,252306.37268829346,1076.7630972862244,158.01367055642328,234.31929764697867,8,True,ok,0.8289997279644012,0.9998584954410549,1.0180972079748012
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0005_flat_6s_masked_clipmean_cal.fits,2461181.6729527777,195075.986618042,285430.9745941162,1248.133451461792,156.29417382377855,228.68626288304705,8,True,ok,1.10649973154068,0.9889780861070786,0.9936221560982631
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0006_flat_6s_masked_clipmean_cal.fits,2461181.6731434027,188413.30987548828,276758.4230117798,1199.3616743087769,157.09465619207464,230.75476642296647,8,True,ok,1.3809996843338013,0.994043275046575,1.0026096261864106
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0007_flat_6s_masked_clipmean_cal.fits,2461181.6733350693,200965.35902786255,283303.5828704834,1283.883859872818,156.52923547755344,220.66137890272066,8,True,ok,1.6569996625185013,0.9904654788791826,0.9587547249616225
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0008_flat_6s_masked_clipmean_cal.fits,2461181.6735259257,156303.5923576355,228706.89804077148,970.6251316070557,161.03394324732247,235.628452832355,8,True,ok,1.931832879781723,1.0189697868749554,1.0237853747302574
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0009_flat_6s_masked_clipmean_cal.fits,2461181.6737177083,200611.23558044434,291823.0322341919,1269.4018654823303,158.03603337562353,229.8901870002443,8,True,ok,2.2079998254776,1.0,0.998853102907342
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0010_flat_6s_masked_clipmean_cal.fits,2461181.6739096064,176296.01866912842,251124.01377868652,1114.062424659729,158.24608636538025,225.41287473669888,8,True,ok,2.4843330681324005,1.0013291461780585,0.9793995659578822
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0011_flat_6s_masked_clipmean_cal.fits,2461181.67410081,221983.0758972168,322191.7163925171,1413.5306820869446,157.04156882500757,227.93400983474334,8,True,ok,2.7596665173768997,0.9937073556620325,0.9903536812613234
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0012_flat_6s_masked_clipmean_cal.fits,2461181.674292361,174634.98391723633,251297.205368042,1112.2218353748322,157.01452566643977,225.94162187379806,8,True,ok,3.0354995280504227,0.9935362354561518,0.9816969268215033
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0013_flat_6s_masked_clipmean_cal.fits,2461181.6744832178,187016.0153312683,277004.9437789917,1202.4714975357056,155.52636026261834,230.3630018230569,8,True,ok,3.310333415865898,0.9841196146258611,1.0009074426729032
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0014_flat_6s_masked_clipmean_cal.fits,2461181.674675,156362.35931396484,233016.17724609375,1004.1821098327637,155.71115814840138,232.04573648986857,7,True,ok,3.5864996910095215,0.9852889548189536,1.0082187801651505
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0015_flat_6s_masked_clipmean_cal.fits,2461181.6748667825,170840.32537841797,250802.89697265625,1070.4575181007385,159.59561448223724,234.2950492959719,8,True,ok,3.8626666367053986,1.0098685158903404,1.0179918509738803
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0016_flat_6s_masked_clipmean_cal.fits,2461181.675058449,185374.3981628418,274543.41929626465,1166.8734164237976,158.86418831184986,235.28123567822632,8,True,ok,4.138666614890099,1.005240291840646,1.022276746039709
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0017_flat_6s_masked_clipmean_cal.fits,2461181.6752502313,209340.98211669922,298611.92362976074,1330.5123300552368,157.33862617267766,224.433789063318,8,True,ok,4.414832890033722,0.9955870367785792,0.9751455228617862
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0018_flat_6s_masked_clipmean_cal.fits,2461181.67544213,127821.28929138184,188328.36140441895,821.9031224250793,155.51868073482515,229.13693386240425,8,True,ok,4.691166803240776,0.984071021101782,0.9955802827673269
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0019_flat_6s_masked_clipmean_cal.fits,2461181.6756346063,219823.35381698608,322629.2967529297,1389.70183801651,158.1802281637153,232.15720662312083,8,True,ok,4.968332871794701,1.0009124171558332,1.0087031083130082
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0020_flat_6s_masked_clipmean_cal.fits,2461181.6758256946,196408.15602874756,287690.86140823364,1223.6541104316711,160.5095380748243,235.1079924920485,8,True,ok,5.2435000240802765,1.0156515235567933,1.0215240192864306
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0021_flat_6s_masked_clipmean_cal.fits,2461181.676017361,203591.9791984558,295429.1951904297,1269.7613558769226,160.33877409810688,232.66513335208597,8,True,ok,5.5195000022649765,1.0145709853208613,1.0109100062928507
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0022_flat_6s_masked_clipmean_cal.fits,2461181.676209028,208363.52165603638,297794.81285858154,1304.6431729793549,159.70920323003415,228.25767154287936,8,True,ok,5.7954999804496765,1.0105872680974837,0.9917599635636802
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0023_flat_6s_masked_clipmean_cal.fits,2461181.6764001157,220395.0407524109,325747.73571395874,1396.1924409866333,157.8543431997573,233.3114878374258,8,True,ok,6.070666462182999,0.9988503243723259,1.0137183609759457
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0024_flat_6s_masked_clipmean_cal.fits,2461181.6765917824,158812.3911857605,227745.9799194336,979.9806632995605,162.056657986541,232.3984425903067,8,True,ok,6.346666440367699,1.0254411891075574,1.0097512578556254
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0025_flat_6s_masked_clipmean_cal.fits,2461181.676783449,219138.07013320923,335150.86212158203,1477.6123704910278,148.30551943767708,226.81920428847485,8,True,ok,6.622666418552399,0.9384285107003493,0.9855099469829768
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0026_flat_6s_masked_clipmean_cal.fits,2461181.6769761574,226912.78164291382,329345.70642852783,1411.7638001441956,160.72999011572423,233.28669172200685,8,True,ok,6.900166422128677,1.0170464715075305,1.0136106239857356
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0027_flat_6s_masked_clipmean_cal.fits,2461181.6771674766,197288.6702041626,289450.0748977661,1253.4893431663513,157.39158157165147,230.91546527759593,8,True,ok,7.1756661683321,0.995922121112466,1.0033078488973266
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0028_flat_6s_masked_clipmean_cal.fits,2461181.677359375,172808.4009399414,248952.86737060547,1054.0845470428467,163.94168895155718,236.1792211725555,8,True,ok,7.452000081539154,1.0373690445766692,1.0261784158285787
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0029_flat_6s_masked_clipmean_cal.fits,2461181.677550463,224247.38419914246,334179.7042236328,1439.2049250602722,155.81338021738026,232.19744346666806,8,True,ok,7.727166563272476,0.9859357824239968,1.0088779339397684
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0030_flat_6s_masked_clipmean_cal.fits,2461181.677741667,193254.52734375,275638.6272697449,1203.4110231399536,160.58896223129827,229.04778331724555,8,True,ok,8.002500012516975,1.0161540934756752,0.9951929313113138
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0031_flat_6s_masked_clipmean_cal.fits,2461181.6779328706,207333.54943847656,303407.8819580078,1301.325704574585,159.32487056056098,233.1529154395629,8,True,ok,8.277833461761475,1.0081553374721455,1.0130293775369064
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0032_flat_6s_masked_clipmean_cal.fits,2461181.6781244213,153543.51455688477,232040.5985107422,992.8676733970642,154.6465039309223,233.70747656313844,8,True,ok,8.553666472434998,0.9785521733727338,1.0154388979529938
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0033_flat_6s_masked_clipmean_cal.fits,2461181.678316204,216660.87314987183,312763.8019256592,1392.1863059997559,155.62634987584042,224.65657116276364,8,True,ok,8.829833418130875,0.9847523159857111,0.9761134919352259
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0034_flat_6s_masked_clipmean_cal.fits,2461181.6785078705,197508.30712890625,291673.4010848999,1264.2183272838593,156.22958698379875,230.71442233522492,8,True,ok,9.105833396315575,0.9885694018431153,1.002434334592844
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0035_flat_6s_masked_clipmean_cal.fits,2461181.678699537,216029.10791015625,316064.6436920166,1384.4411404132843,156.0406590096471,228.2976390008641,8,True,ok,9.381833374500275,0.9873739278102875,0.9919336187333259
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0036_flat_6s_masked_clipmean_cal.fits,2461181.6788909724,213288.07396697998,308689.82566452026,1356.8496689796448,157.19359251299613,227.50480964973517,8,True,ok,9.657500088214874,0.994669311519449,0.9884888433482403
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0037_flat_6s_masked_clipmean_cal.fits,2461181.67908206,216317.5012512207,317524.27127075195,1393.8138647079468,155.19827053560473,227.80966620480885,8,True,ok,9.932666569948196,0.9820435708274584,0.989813418876889
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0038_flat_6s_masked_clipmean_cal.fits,2461181.6792738424,178848.75868225098,260578.59335327148,1142.6922409534454,156.51524730142756,228.03917276610593,8,True,ok,10.20883284509182,0.9903769663050114,0.9908106051590896
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0039_flat_6s_masked_clipmean_cal.fits,2461181.6794653935,226895.06587219238,328078.5794830322,1448.1842513084412,156.67555124093613,,8,True,ok,10.484666526317596,0.9913913168685158,
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0040_flat_6s_masked_clipmean_cal.fits,2461181.679657176,211230.2477645874,307320.7614059448,1346.299952507019,156.89686935756328,228.27064714194333,8,True,ok,10.760833472013474,0.9927917450613768,0.9918163414263296
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0041_flat_6s_masked_clipmean_cal.fits,2461181.679848843,198804.67614746094,290118.69383621216,1222.5512838363647,162.61459030463905,237.3059500013938,8,True,ok,11.036833450198174,1.0289716011672674,1.0310739557448567
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0042_flat_6s_masked_clipmean_cal.fits,2461181.6800405094,196856.9641571045,278359.2467956543,1229.563283443451,160.10315760714417,226.38871097069187,8,True,ok,11.312833428382874,1.0130800817216632,0.983639490519135
flat_6s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0043_flat_6s_masked_clipmean_cal.fits,2461181.6802317128,192534.82386779785,281910.2891845703,1214.163155078888,158.57409530376358,232.1848492975013,8,True,ok,11.588166207075119,1.003404678772601,1.0088232133572377
