flat,sequence,file,jd,minutes,target_rate,dn_rate,ensemble_rate,diff_flux,check_diff_flux,n_comps,n_sources,good,reject_reason,minutes_combined,diff_flux_norm,check_diff_flux_norm
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0001_flat_6s_masked_cal.fits,2461181.672184375,0.0,187810.87254333496,275658.9726715088,1212.692500114441,154.8709772061849,227.31151767286022,8,19,True,ok,0.0,0.9804045480119367,0.9888086202173703
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0002_flat_6s_masked_cal.fits,2461181.672376852,0.2771667391061783,169616.75146484375,243958.09149169922,1040.4576435089111,163.02129406519282,234.47191052291,8,17,True,ok,0.2771667391061783,1.0319998040144318,1.0199564399440493
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0003_flat_6s_masked_cal.fits,2461181.6725682872,0.5528334528207779,197858.34286499023,298531.8651123047,1284.232081413269,154.06743510662923,232.45943582391817,8,21,True,ok,0.5528334528207779,0.9753177567800674,1.0112021438542385
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0004_flat_6s_masked_cal.fits,2461181.6727600694,0.8289997279644012,170008.05255126953,251980.72778320312,1065.7434730529785,159.52061340263856,236.43656672967217,8,17,True,ok,0.8289997279644012,1.009838884618047,1.0285027248525236
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0005_flat_6s_masked_cal.fits,2461181.6729527777,1.10649973154068,194995.47801208496,285285.03565979004,1245.9495811462402,156.5035062114587,228.9699679479289,8,21,True,ok,1.10649973154068,0.9907392078068508,0.9960229045835054
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0006_flat_6s_masked_cal.fits,2461181.6731434027,1.3809996843338013,188340.20518493652,276651.8464202881,1198.1664600372314,157.1903499778187,230.89600289069307,8,20,True,ok,1.3809996843338013,0.9950872448920465,1.0044011863958064
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0007_flat_6s_masked_cal.fits,2461181.6733350693,1.6569996625185013,200942.44038772583,286067.3065185547,1284.3576016426086,156.45365444229373,222.7318202910883,8,21,True,ok,1.6569996625185013,0.9904236231692546,0.9688868657218493
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0008_flat_6s_masked_cal.fits,2461181.6735259257,1.931832879781723,156330.1573791504,228599.33554077148,971.8876457214355,160.85208827107374,235.2116898976336,8,16,True,ok,1.931832879781723,1.0182677331997896,1.0231744916744436
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0009_flat_6s_masked_cal.fits,2461181.6737177083,2.2079998254776,200581.20080566406,291796.98612976074,1273.476930141449,157.50674084326357,229.1340967577245,8,20,True,ok,2.2079998254776,0.9970901446543345,0.9967368674465112
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0010_flat_6s_masked_cal.fits,2461181.6739096064,2.4843330681324005,177939.84545898438,251196.23178100586,1114.7104935646057,159.62875247542598,225.3466108296281,8,19,True,ok,2.4843330681324005,1.01052345470788,0.9802612450363721
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0011_flat_6s_masked_cal.fits,2461181.67410081,2.7596665173768997,221904.36949920654,322270.3725204468,1414.3816857337952,156.8914330109417,227.85247841585968,8,23,True,ok,2.7596665173768997,0.9931949629481289,0.9911618078224387
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0012_flat_6s_masked_cal.fits,2461181.674292361,3.0354995280504227,174589.00327682495,251339.6057281494,1111.918927192688,157.01594694283847,226.04130533394002,8,20,True,ok,3.0354995280504227,0.9939831934308482,0.9832831768826495
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0013_flat_6s_masked_cal.fits,2461181.6744832178,3.310333415865898,186887.55224990845,277041.87102508545,1209.2440733909607,154.549074386479,229.10335235152735,8,21,True,ok,3.310333415865898,0.9783667550429068,0.99660312880369
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0014_flat_6s_masked_cal.fits,2461181.674675,3.5864996910095215,156271.32527160645,232958.5905456543,1005.0437564849854,155.48708627189112,231.78950074810453,7,18,True,ok,3.5864996910095215,0.9843048018941445,1.0082879159051563
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0015_flat_6s_masked_cal.fits,2461181.6748667825,3.8626666367053986,170737.4634399414,250775.03247070312,1069.3751153945923,159.66096553213737,234.50614182112216,8,19,True,ok,3.8626666367053986,1.0107273781793717,1.020105346621106
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0016_flat_6s_masked_cal.fits,2461181.675058449,4.138666614890099,185254.78381347656,274498.0255584717,1166.30934715271,158.83846276782035,235.3561053322592,8,23,True,ok,4.138666614890099,1.0055205572150072,1.0238027010503352
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0017_flat_6s_masked_cal.fits,2461181.6752502313,4.414832890033722,209170.00994873047,298536.62532043457,1324.090389251709,157.97260643734447,225.46544234729197,8,23,True,ok,4.414832890033722,1.0000392882281568,0.9807781639774908
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0018_flat_6s_masked_cal.fits,2461181.67544213,4.691166803240776,127765.85801696777,188296.81372070312,816.6855597496033,156.4443701638865,230.562193089878,8,16,True,ok,4.691166803240776,0.9903648494148711,1.0029491085955342
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0019_flat_6s_masked_cal.fits,2461181.6756346063,4.968332871794701,219665.50443649292,322566.3408203125,1393.975281238556,157.58206576039046,231.40033052358737,8,24,True,ok,4.968332871794701,0.9975669860397383,1.0065950194049083
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0020_flat_6s_masked_cal.fits,2461181.6758256946,5.2435000240802765,196275.70442199707,287517.85636520386,1224.0670139789581,160.34718865920775,234.8873493703559,8,23,True,ok,5.2435000240802765,1.0150714863322834,1.0217636053606247
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0021_flat_6s_masked_cal.fits,2461181.676017361,5.5195000022649765,203540.4831314087,295229.2903442383,1269.589373588562,160.31993285836245,232.5391945505632,8,23,True,ok,5.5195000022649765,1.0148989445714547,1.0115490955496542
