flat,sequence,N,target_mad_pct,check_mad_pct,median_n_comps,median_ensemble_rate,candidate,median,robust_sigma,p01,p99,frac_abs_deviation_gt_10pct,preferred_by_metric
flat_6s_masked,V0399 named,107,1.3313060811375295,1.8552659822686108,8.0,1474.3879346847534,flat_6s_masked,1.0,0.0117280929304446,0.9689994298745724,1.0213084378563284,0.0010781493495793,False
flat_4s_masked,V0399 named,106,1.3585147344032784,1.785058694774122,8.0,1474.8586688041687,flat_4s_masked,1.0,0.0114879052369076,0.9723013893836836,1.020573566084788,0.0010355151079535,True
flat_0p3_late_bias,V0399 named,107,1.3727152142213657,1.6899450874194908,8.0,1475.602290391922,flat_0p3_late_bias,1.0,0.0116074860984313,0.971671231360832,1.019503693252552,0.0010499008950052,False
flat_0p3_early_bias,V0399 named,107,1.3728110227567174,1.685236613995429,8.0,1475.5845890045166,flat_0p3_early_bias,1.0,0.0116074860984313,0.971643566547708,1.019503693252552,0.0010501624547697,False
no_flat,V0399 named,106,1.3889044070554124,1.521554983353402,8.0,1467.0,no_flat,1.0,0.0,1.0,1.0,0.0,False
flat_4s_masked,V_8 generic,83,1.4699931160311328,1.6824781219170408,8.0,1307.9056825637817,flat_4s_masked,1.0,0.0114879052369076,0.9723013893836836,1.020573566084788,0.0010355151079535,True
no_flat,V_8 generic,83,1.5082139910546646,1.597043228392569,8.0,1309.375,no_flat,1.0,0.0,1.0,1.0,0.0,False
flat_6s_masked,V_8 generic,83,1.5144114233131822,1.5840727127362404,8.0,1301.9823999404907,flat_6s_masked,1.0,0.0117280929304446,0.9689994298745724,1.0213084378563284,0.0010781493495793,False
flat_0p3_early_bias,V_8 generic,83,1.5713936447557395,1.7443636725671223,8.0,1302.8930168151855,flat_0p3_early_bias,1.0,0.0116074860984313,0.971643566547708,1.019503693252552,0.0010501624547697,False
flat_0p3_late_bias,V_8 generic,83,1.5788901282501555,1.7569234183371327,8.0,1302.8734941482544,flat_0p3_late_bias,1.0,0.0116074860984313,0.971671231360832,1.019503693252552,0.0010499008950052,False
flat_4s_masked,combined,189,1.392485904018365,1.7324145449863098,8.0,1397.264571428299,flat_4s_masked,1.0,0.0114879052369076,0.9723013893836836,1.020573566084788,0.0010355151079535,True
no_flat,combined,189,1.393869316918549,1.5741092320678436,8.0,1393.5,no_flat,1.0,0.0,1.0,1.0,0.0,False
flat_0p3_late_bias,combined,190,1.424352758944234,1.7569234183371327,8.0,1399.6435351371765,flat_0p3_late_bias,1.0,0.0116074860984313,0.971671231360832,1.019503693252552,0.0010499008950052,False
flat_0p3_early_bias,combined,190,1.4289255986068596,1.7443636725671223,8.0,1399.6707239151,flat_0p3_early_bias,1.0,0.0116074860984313,0.971643566547708,1.019503693252552,0.0010501624547697,False
flat_6s_masked,combined,190,1.4444787206082306,1.6541503305884437,8.0,1396.8447004556656,flat_6s_masked,1.0,0.0117280929304446,0.9689994298745724,1.0213084378563284,0.0010781493495793,False
