flat,sequence,file,jd,minutes,target_rate,dn_rate,ensemble_rate,diff_flux,check_diff_flux,n_comps,n_sources,good,reject_reason,minutes_combined,diff_flux_norm,check_diff_flux_norm
no_flat,V_8 generic,light_V_8s_2026_05_20-0001_no_flat_cal.fits,2461181.672184375,0.0,189093.625,277310.625,1208.4375,156.47778639772434,229.47866563227308,8,19,True,ok,0.0,0.9841403965736848,0.9906302402841698
no_flat,V_8 generic,light_V_8s_2026_05_20-0002_no_flat_cal.fits,2461181.672376852,0.2771667391061783,170849.125,245472.25,1040.3125,164.22865725443077,235.96010814058275,8,16,True,ok,0.2771667391061783,1.0328881792098878,1.0186098040126939
no_flat,V_8 generic,light_V_8s_2026_05_20-0003_no_flat_cal.fits,2461181.6725682872,0.5528334528207779,199306.75,300490.625,1282.5625,155.39730032649481,234.28926465571854,8,20,True,ok,0.5528334528207779,0.977344863385802,1.0113969849982212
no_flat,V_8 generic,light_V_8s_2026_05_20-0004_no_flat_cal.fits,2461181.6727600694,0.8289997279644012,171165.375,253652.25,1075.75,159.11259586335115,235.7910759934929,8,17,True,ok,0.8289997279644012,1.0007115821207968,1.0178801137121771
no_flat,V_8 generic,light_V_8s_2026_05_20-0005_no_flat_cal.fits,2461181.6729527777,1.10649973154068,196201.375,286938.625,1247.4375,157.28353123904003,230.02244601432938,8,21,True,ok,1.10649973154068,0.9892079915718279,0.9929776710967642
no_flat,V_8 generic,light_V_8s_2026_05_20-0006_no_flat_cal.fits,2461181.6731434027,1.3809996843338013,189633.125,278616.5,1201.0625,157.88780767029192,231.97502211583495,8,20,True,ok,1.3809996843338013,0.993008485305685,1.001406694018255
no_flat,V_8 generic,light_V_8s_2026_05_20-0007_no_flat_cal.fits,2461181.6733350693,1.6569996625185013,202277.9375,288072.625,1288.625,156.97191774177904,223.55039286060725,8,21,True,ok,1.6569996625185013,0.9872481515342608,0.9650386400189139
no_flat,V_8 generic,light_V_8s_2026_05_20-0008_no_flat_cal.fits,2461181.6735259257,1.931832879781723,157327.5625,230266.25,972.625,161.7556226706079,236.74720472946922,8,15,True,ok,1.931832879781723,1.0173344492390548,1.0220075999726237
no_flat,V_8 generic,light_V_8s_2026_05_20-0009_no_flat_cal.fits,2461181.6737177083,2.2079998254776,201915.75,293873.375,1271.125,158.8480676566034,231.19156259219196,8,20,True,ok,2.2079998254776,0.999047877001452,0.998024598806829
no_flat,V_8 generic,light_V_8s_2026_05_20-0010_no_flat_cal.fits,2461181.6739096064,2.4843330681324005,179176.875,252932.625,1117.0625,160.40004476025288,226.42656521009343,8,19,True,ok,2.4843330681324005,1.0088087727644885,0.9774547105839917
