flat,sequence,file,jd,target_rate,dn_rate,ensemble_rate,diff_flux,check_diff_flux,n_comps,good,reject_reason,minutes_combined,diff_flux_norm,check_diff_flux_norm,v_resid,dn_resid,v_corr_norm,correction_mode
flat_4s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0001_flat_4s_masked_clipmean_cal.fits,2461181.672184375,188058.0267791748,275963.5729980469,1210.6643466949463,155.33457088462538,227.94391670277048,8,True,ok,0.0,0.982777269825039,0.9910635315368268,-0.01722273017496101,-0.008936468463173197,0.9850980318619492,global_beta
flat_4s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0002_flat_4s_masked_clipmean_cal.fits,2461181.672376852,169921.66638183594,244363.24267578125,1049.415557861328,161.9202851615144,232.85650841101017,8,True,ok,0.2771667391061783,1.0244440427786017,1.012422691095865,0.024444042778601682,0.012422691095864913,1.021217923869286,global_beta
flat_4s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0003_flat_4s_masked_clipmean_cal.fits,2461181.6725682872,198199.65267944336,299064.12243652344,1281.463535308838,154.6666348423847,233.37700542875595,8,True,ok,0.5528334528207779,0.9785513440940656,1.0146857285132405,-0.021448655905934366,0.01468572851324046,0.974737524198841,global_beta
flat_4s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0004_flat_4s_masked_clipmean_cal.fits,2461181.6727600694,170219.9238128662,252501.66204833984,1072.9234743118286,158.65057283982438,235.33986168985072,8,True,ok,0.8289997279644012,1.0037570898979673,1.0232199122114016,0.003757089897967303,0.023219912211401628,0.9977269795716479,global_beta
flat_4s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0005_flat_4s_masked_clipmean_cal.fits,2461181.6729527777,195185.70652008057,285622.5554122925,1249.5092239379885,156.20989647833716,228.58779266319976,8,True,ok,1.10649973154068,0.9883153164575236,0.9938630007766521,-0.011684683542476426,-0.006136999223347872,0.9899090684946718,global_beta
flat_4s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0006_flat_4s_masked_clipmean_cal.fits,2461181.6731434027,188493.9375076294,277009.0774459839,1200.902629852295,156.9602171083706,230.6673918101542,8,True,ok,1.3809996843338013,0.9930624764495216,1.0029047637882489,-0.006937523550478386,0.0029047637882488875,0.9923081219129684,global_beta
flat_4s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0007_flat_4s_masked_clipmean_cal.fits,2461181.6733350693,201065.762802124,286432.40783691406,1286.2278089523315,156.32204606577253,222.6918169886416,8,True,ok,1.6569996625185013,0.9890248691651021,0.9682282457087981,-0.010975130834897873,-0.03177175429120194,0.9972758557275141,global_beta
flat_4s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0008_flat_4s_masked_clipmean_cal.fits,2461181.6735259257,156343.6325263977,228920.1954650879,972.122612953186,160.82707103319555,235.4848991421537,8,True,ok,1.931832879781723,1.0175274498383131,1.023850511754323,0.017527449838313114,0.023850511754323067,1.0113335755502302,global_beta
flat_4s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0009_flat_4s_masked_clipmean_cal.fits,2461181.6737177083,200657.6000289917,292133.57302856445,1276.1754269599917,157.23355566168755,228.91333499851424,8,True,ok,2.2079998254776,0.9947918462584244,0.9952784065535135,-0.005208153741575572,-0.004721593446486483,0.9960180235643128,global_beta
flat_4s_masked_clipmean,V_8 generic,light_V_8s_2026_05_20-0010_flat_4s_masked_clipmean_cal.fits,2461181.6739096064,176343.88552856445,251439.469039917,1109.9715733528135,158.8724339992733,226.52784546581793,8,True,ok,2.4843330681324005,1.0051607703750285,0.9849066812847891,0.0051607703750284895,-0.015093318715210913,1.0090804396749982,global_beta
