model,k,dof,chi2,chi2_red,rms_pct,aic,bic,delta_chi2_vs_constant,extra_params,nested_p_vs_constant,p_absolute
linear_global,3,187,257.25500784474417,1.375695229116279,1.3872365786956085,263.25500784474417,272.99608006122565,8.290486947198076,1,0.003985330052291861,0.0004995954754868954
linear_global_plus_sine_4.679min,5,185,247.01359806134516,1.3352086381694332,1.3593015896325622,257.0135980613452,273.2487184221476,18.531896730597083,3,0.00034160849181601394,0.0015642826211348755
quadratic_global,4,186,253.41533450305764,1.3624480349626755,1.3768497256321148,261.41533450305764,274.4034307916996,12.13016028888461,2,0.002322571865843767,0.0007408115789949145
linear_per_sequence,4,186,254.0281148614591,1.3657425530185974,1.378518845482262,262.02811486145913,275.01621115010107,11.517379930483145,2,0.0031552423693020216,0.0006773076569959453
sine_4.679min,4,186,254.85295952532994,1.3701772017490856,1.3806618160134891,262.85295952532994,275.8410558139719,10.69253526661231,2,0.004765905953447203,0.0005998765892261262
constant_per_sequence,2,188,265.54549479194225,1.4124760361273523,1.4093645125775796,269.54549479194225,276.0395429362632,0.0,0,,0.00016795169861656573
sine_13.936min,4,186,257.10711702101264,1.3822963280699605,1.3867589566985294,265.10711702101264,278.0952133096546,8.438377770929606,2,0.014710571625583964,0.0004285920038790807
linear_global_plus_sine_13.936min,5,185,252.49226850090358,1.3648230729778572,1.3743012698163874,262.4922685009036,278.727388861706,13.05322629103867,3,0.004522903020769024,0.0007150540076657719
sine_29.522min,4,186,259.1125075799206,1.3930779977415086,1.3922180703443523,267.1125075799206,280.10060386856253,6.432987212021658,2,0.04009540234380903,0.00031607343931966257
linear_global_plus_sine_15.300min,5,185,254.72229265440964,1.3768772575914034,1.3803767529503757,264.72229265440967,280.95741301521207,10.823202137532604,3,0.012721330370774877,0.0005141244670294853
sine_15.300min,4,186,260.19173672439996,1.3988803049698924,1.3950629485165549,268.19173672439996,281.1798330130419,5.353758067542287,2,0.06877747170789877,0.0002677354944289679
linear_global_plus_sine_29.522min,5,185,257.01093559326847,1.3892483005041538,1.3865729033105054,267.01093559326847,283.2460559540709,8.534559198673776,3,0.036164098671344354,0.0003640431485709085
