sequence,n_comp,N_target,N_check,target_mad_pct,check_mad_pct,score_pct,subset,subset_short
V_8 generic,4,83,78,1.3719319195362951,1.1905538069609656,1.2812428632486303,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774287774887292672_src5|gaia_774289041901756032_src4,"src2,src1,src5,src4"
V_8 generic,4,83,78,1.4809465528600774,1.2805861946396115,1.3807663737498443,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774287774887292672_src5|gaia_774290626745586944_src8,"src2,src1,src5,src8"
V_8 generic,4,83,78,1.5333932950837987,1.2599729656863168,1.3966831303850578,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774287774887292672_src5|gaia_774288805679445888_src7,"src2,src1,src5,src7"
V_8 generic,4,83,78,1.5333932950837987,1.2599729656863168,1.3966831303850578,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774287774887292672_src5|gaia_774289488578357504_src6,"src2,src1,src5,src6"
V_8 generic,4,83,78,1.4037559675300817,1.3933609305387917,1.3985584490344367,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774288805679445888_src7|gaia_774290626745586944_src8,"src2,src1,src7,src8"
V_8 generic,4,83,78,1.4478242562469612,1.3710499246935766,1.4094370904702689,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774288805679445888_src7|gaia_774289488578357504_src6,"src2,src1,src7,src6"
V_8 generic,4,83,78,1.4375269163276665,1.4589376901099278,1.4482323032187971,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774289488578357504_src6|gaia_774290626745586944_src8,"src2,src1,src6,src8"
V_8 generic,4,83,78,1.369177517676489,1.5442943812126049,1.456735949444547,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774288805679445888_src7|gaia_774289041901756032_src4,"src2,src1,src7,src4"
V_8 generic,4,83,78,1.369177517676489,1.5442943812126049,1.456735949444547,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774289041901756032_src4|gaia_774289488578357504_src6,"src2,src1,src4,src6"
V_8 generic,4,83,78,1.3375402093846807,1.5935108602972088,1.4655255348409448,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774289041901756032_src4|gaia_774290626745586944_src8,"src2,src1,src4,src8"
V_8 generic,3,83,78,1.5061004866435828,1.4960126706721852,1.501056578657884,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774287774887292672_src5,"src2,src1,src5"
V_8 generic,3,83,78,1.5061004866435828,1.4960126706721852,1.501056578657884,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774288805679445888_src7,"src2,src1,src7"
V_8 generic,3,83,78,1.5061004866435828,1.4960126706721852,1.501056578657884,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774289041901756032_src4,"src2,src1,src4"
V_8 generic,3,83,78,1.5061004866435828,1.4960126706721852,1.501056578657884,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774289488578357504_src6,"src2,src1,src6"
V_8 generic,4,83,78,1.35715877093518,1.6648347311642462,1.510996751049713,gaia_774271076054448768_src2|gaia_774288805679445888_src7|gaia_774289041901756032_src4|gaia_774289488578357504_src6,"src2,src7,src4,src6"
V_8 generic,4,83,78,1.35715877093518,1.6648347311642462,1.510996751049713,gaia_774272862760870784_src1|gaia_774288805679445888_src7|gaia_774289041901756032_src4|gaia_774289488578357504_src6,"src1,src7,src4,src6"
V_8 generic,3,83,78,1.5061004866435828,1.5386541523703219,1.5223773195069523,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774384016513181696_src3,"src2,src1,src3"
V_8 generic,4,83,78,1.339050906227249,1.7248792535600515,1.5319650798936504,gaia_774271076054448768_src2|gaia_774289041901756032_src4|gaia_774289488578357504_src6|gaia_774290626745586944_src8,"src2,src4,src6,src8"
V_8 generic,4,83,78,1.339050906227249,1.7248792535600515,1.5319650798936504,gaia_774272862760870784_src1|gaia_774289041901756032_src4|gaia_774289488578357504_src6|gaia_774290626745586944_src8,"src1,src4,src6,src8"
V_8 generic,6,83,78,1.339050906227249,1.7248792535600515,1.5319650798936504,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774288805679445888_src7|gaia_774289041901756032_src4|gaia_774289488578357504_src6|gaia_774290626745586944_src8,"src2,src1,src7,src4,src6,src8"
V_8 generic,3,83,78,1.5880562374327847,1.5339328284791633,1.560994532955974,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774290626745586944_src8,"src2,src1,src8"
V_8 generic,4,83,78,1.4586573909721696,1.6648347311642462,1.561746061068208,gaia_774288805679445888_src7|gaia_774289041901756032_src4|gaia_774289488578357504_src6|gaia_774384016513181696_src3,"src7,src4,src6,src3"
V_8 generic,4,83,78,1.4422907222208987,1.7248792535600515,1.583584987890475,gaia_774289041901756032_src4|gaia_774289488578357504_src6|gaia_774290626745586944_src8|gaia_774384016513181696_src3,"src4,src6,src8,src3"
V_8 generic,6,83,78,1.4422907222208987,1.7248792535600515,1.583584987890475,gaia_774271076054448768_src2|gaia_774288805679445888_src7|gaia_774289041901756032_src4|gaia_774289488578357504_src6|gaia_774290626745586944_src8|gaia_774384016513181696_src3,"src2,src7,src4,src6,src8,src3"
V_8 generic,6,83,78,1.4422907222208987,1.7248792535600515,1.583584987890475,gaia_774272862760870784_src1|gaia_774288805679445888_src7|gaia_774289041901756032_src4|gaia_774289488578357504_src6|gaia_774290626745586944_src8|gaia_774384016513181696_src3,"src1,src7,src4,src6,src8,src3"
V_8 generic,4,83,78,1.3185887931457858,1.9206847941122145,1.6196367936290001,gaia_774288805679445888_src7|gaia_774289041901756032_src4|gaia_774290626745586944_src8|gaia_774384016513181696_src3,"src7,src4,src8,src3"
V_8 generic,4,83,78,1.7787010713497358,1.4923352636522156,1.6355181675009756,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774287774887292672_src5|gaia_774384016513181696_src3,"src2,src1,src5,src3"
V_8 generic,4,83,78,1.7787010713497358,1.4923352636522156,1.6355181675009756,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774288805679445888_src7|gaia_774384016513181696_src3,"src2,src1,src7,src3"
V_8 generic,4,83,78,1.7787010713497358,1.4923352636522156,1.6355181675009756,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774289041901756032_src4|gaia_774384016513181696_src3,"src2,src1,src4,src3"
V_8 generic,4,83,78,1.7787010713497358,1.4923352636522156,1.6355181675009756,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774289488578357504_src6|gaia_774384016513181696_src3,"src2,src1,src6,src3"
V_8 generic,4,83,78,1.3547118918604055,1.9206847941122145,1.63769834298631,gaia_774271076054448768_src2|gaia_774288805679445888_src7|gaia_774289041901756032_src4|gaia_774290626745586944_src8,"src2,src7,src4,src8"
V_8 generic,4,83,78,1.3547118918604055,1.9206847941122145,1.63769834298631,gaia_774272862760870784_src1|gaia_774288805679445888_src7|gaia_774289041901756032_src4|gaia_774290626745586944_src8,"src1,src7,src4,src8"
V_8 generic,4,83,78,1.5788901282501224,1.7205953441666544,1.6497427362083883,gaia_774271076054448768_src2|gaia_774287774887292672_src5|gaia_774288805679445888_src7|gaia_774289041901756032_src4,"src2,src5,src7,src4"
V_8 generic,4,83,78,1.5788901282501224,1.7205953441666544,1.6497427362083883,gaia_774271076054448768_src2|gaia_774287774887292672_src5|gaia_774289041901756032_src4|gaia_774289488578357504_src6,"src2,src5,src4,src6"
V_8 generic,4,83,78,1.5788901282501224,1.7205953441666544,1.6497427362083883,gaia_774272862760870784_src1|gaia_774287774887292672_src5|gaia_774288805679445888_src7|gaia_774289041901756032_src4,"src1,src5,src7,src4"
V_8 generic,4,83,78,1.5788901282501224,1.7205953441666544,1.6497427362083883,gaia_774272862760870784_src1|gaia_774287774887292672_src5|gaia_774289041901756032_src4|gaia_774289488578357504_src6,"src1,src5,src4,src6"
V_8 generic,4,83,78,1.5788901282501224,1.7205953441666544,1.6497427362083883,gaia_774287774887292672_src5|gaia_774288805679445888_src7|gaia_774289041901756032_src4|gaia_774384016513181696_src3,"src5,src7,src4,src3"
V_8 generic,4,83,78,1.5788901282501224,1.7205953441666544,1.6497427362083883,gaia_774287774887292672_src5|gaia_774289041901756032_src4|gaia_774289488578357504_src6|gaia_774384016513181696_src3,"src5,src4,src6,src3"
V_8 generic,6,83,78,1.5788901282501224,1.7205953441666544,1.6497427362083883,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774287774887292672_src5|gaia_774288805679445888_src7|gaia_774289041901756032_src4|gaia_774289488578357504_src6,"src2,src1,src5,src7,src4,src6"
V_8 generic,6,83,78,1.5788901282501224,1.7205953441666544,1.6497427362083883,gaia_774271076054448768_src2|gaia_774287774887292672_src5|gaia_774288805679445888_src7|gaia_774289041901756032_src4|gaia_774289488578357504_src6|gaia_774384016513181696_src3,"src2,src5,src7,src4,src6,src3"
V_8 generic,6,83,78,1.5788901282501224,1.7205953441666544,1.6497427362083883,gaia_774272862760870784_src1|gaia_774287774887292672_src5|gaia_774288805679445888_src7|gaia_774289041901756032_src4|gaia_774289488578357504_src6|gaia_774384016513181696_src3,"src1,src5,src7,src4,src6,src3"
V_8 generic,4,83,78,1.5788901282501224,1.7569234183371412,1.6679067732936317,gaia_774271076054448768_src2|gaia_774287774887292672_src5|gaia_774289041901756032_src4|gaia_774290626745586944_src8,"src2,src5,src4,src8"
V_8 generic,4,83,78,1.5788901282501224,1.7569234183371412,1.6679067732936317,gaia_774272862760870784_src1|gaia_774287774887292672_src5|gaia_774289041901756032_src4|gaia_774290626745586944_src8,"src1,src5,src4,src8"
V_8 generic,4,83,78,1.5788901282501224,1.7569234183371412,1.6679067732936317,gaia_774287774887292672_src5|gaia_774289041901756032_src4|gaia_774290626745586944_src8|gaia_774384016513181696_src3,"src5,src4,src8,src3"
V_8 generic,6,83,78,1.5788901282501224,1.7569234183371412,1.6679067732936317,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774287774887292672_src5|gaia_774288805679445888_src7|gaia_774289041901756032_src4|gaia_774290626745586944_src8,"src2,src1,src5,src7,src4,src8"
V_8 generic,6,83,78,1.5788901282501224,1.7569234183371412,1.6679067732936317,gaia_774271076054448768_src2|gaia_774272862760870784_src1|gaia_774287774887292672_src5|gaia_774289041901756032_src4|gaia_774289488578357504_src6|gaia_774290626745586944_src8,"src2,src1,src5,src4,src6,src8"
V_8 generic,6,83,78,1.5788901282501224,1.7569234183371412,1.6679067732936317,gaia_774271076054448768_src2|gaia_774287774887292672_src5|gaia_774288805679445888_src7|gaia_774289041901756032_src4|gaia_774290626745586944_src8|gaia_774384016513181696_src3,"src2,src5,src7,src4,src8,src3"
V_8 generic,6,83,78,1.5788901282501224,1.7569234183371412,1.6679067732936317,gaia_774271076054448768_src2|gaia_774287774887292672_src5|gaia_774289041901756032_src4|gaia_774289488578357504_src6|gaia_774290626745586944_src8|gaia_774384016513181696_src3,"src2,src5,src4,src6,src8,src3"
