file,jd,exptime,diff_flux,diff_flux_err,target_flux_rate,comparison_ensemble_flux_rate,n_comparisons,registered,good,reject_reason
light_V0399_V_8s_2026_05_20-0001_flat_0p3_early_bias_cal.fits,2461181.689061574,8.0,164.72924498627165,0.4839136579975668,215525.09356689453,1308.3596272468567,8,True,True,ok
light_V0399_V_8s_2026_05_20-0002_flat_0p3_early_bias_cal.fits,2461181.689252662,8.0,163.5254010668209,0.48953107485916536,210396.73443603516,1286.6302914619446,8,True,True,ok
light_V0399_V_8s_2026_05_20-0003_flat_0p3_early_bias_cal.fits,2461181.68944375,8.0,158.5605375168136,0.561504747150805,197458.3997039795,1245.3186826705933,8,True,True,ok
light_V0399_V_8s_2026_05_20-0004_flat_0p3_early_bias_cal.fits,2461181.6896349536,8.0,163.02900260916363,0.4747347486542212,205951.08379364014,1263.2788062095642,8,True,True,ok
light_V0399_V_8s_2026_05_20-0005_flat_0p3_early_bias_cal.fits,2461181.6898260415,8.0,159.43385774280188,0.5724686032085742,197425.64990234375,1238.291870355606,8,True,True,ok
light_V0399_V_8s_2026_05_20-0006_flat_0p3_early_bias_cal.fits,2461181.6900171298,8.0,157.38888407653945,0.431522030784479,214492.26096343994,1362.8170897960663,8,True,True,ok
light_V0399_V_8s_2026_05_20-0007_flat_0p3_early_bias_cal.fits,2461181.6902081016,8.0,154.98706063822166,0.42648381438836197,212092.5340423584,1368.453167438507,8,True,True,ok
light_V0399_V_8s_2026_05_20-0008_flat_0p3_early_bias_cal.fits,2461181.690400463,8.0,159.46679586529606,0.4179664662501472,218328.52069091797,1369.1158683300018,8,True,True,ok
light_V0399_V_8s_2026_05_20-0009_flat_0p3_early_bias_cal.fits,2461181.690591667,8.0,161.83925787477017,0.5097357315990934,204316.50498199463,1262.4656567573547,8,True,True,ok
light_V0399_V_8s_2026_05_20-0010_flat_0p3_early_bias_cal.fits,2461181.690783102,8.0,157.55450790815132,0.38685757457171427,224786.5699119568,1426.7225539684296,8,True,True,ok
light_V0399_V_8s_2026_05_20-0011_flat_0p3_early_bias_cal.fits,2461181.690974884,8.0,155.94370157984108,0.5878374935222352,192936.64182281494,1237.2198419570923,8,True,True,ok
light_V0399_V_8s_2026_05_20-0012_flat_0p3_early_bias_cal.fits,2461181.691166551,8.0,158.15651555115014,0.4162479972552479,215462.08882141113,1362.3345713615417,8,True,True,ok
light_V0399_V_8s_2026_05_20-0013_flat_0p3_early_bias_cal.fits,2461181.691357754,8.0,158.37250218300278,0.5661475663210067,196932.89432525635,1243.4790863990784,8,True,True,ok
light_V0399_V_8s_2026_05_20-0014_flat_0p3_early_bias_cal.fits,2461181.6915494213,8.0,156.84760624837463,0.4092853909225249,221896.8808631897,1414.7291512489319,8,True,True,ok
light_V0399_V_8s_2026_05_20-0015_flat_0p3_early_bias_cal.fits,2461181.6917408565,8.0,157.94765558498122,0.8832457643140152,153743.1212463379,973.3802042007446,8,True,True,ok
light_V0399_V_8s_2026_05_20-0016_flat_0p3_early_bias_cal.fits,2461181.691932523,8.0,154.89797472328743,0.4483895129502339,217186.89567565918,1402.128698348999,8,True,True,ok
light_V0399_V_8s_2026_05_20-0017_flat_0p3_early_bias_cal.fits,2461181.692123727,8.0,153.55364187142962,0.42794664546647304,217819.96895980835,1418.5268828868866,8,True,True,ok
light_V0399_V_8s_2026_05_20-0018_flat_0p3_early_bias_cal.fits,2461181.6923153936,8.0,156.59198732951336,0.3935385655375643,227908.33806610107,1455.4278411865234,8,True,True,ok
light_V0399_V_8s_2026_05_20-0019_flat_0p3_early_bias_cal.fits,2461181.6925069443,8.0,157.78273971175287,0.4827793959363965,219688.45612335205,1392.3478355407715,8,True,True,ok
light_V0399_V_8s_2026_05_20-0020_flat_0p3_early_bias_cal.fits,2461181.692698148,8.0,154.7575993902924,0.39592089554127824,226707.5978527069,1464.9206161499023,8,True,True,ok
light_V0399_V_8s_2026_05_20-0021_flat_0p3_early_bias_cal.fits,2461181.6928898147,8.0,152.89829202618844,0.43663280944010635,220072.0189628601,1439.336019039154,8,True,True,ok
light_V0399_V_8s_2026_05_20-0022_flat_0p3_early_bias_cal.fits,2461181.6930810185,8.0,150.44747255046872,0.47084363494994624,208282.35430145264,1384.4190983772278,8,True,True,ok
light_V0399_V_8s_2026_05_20-0023_flat_0p3_early_bias_cal.fits,2461181.693271991,8.0,157.42483868363732,0.5313814424774466,205164.30332565308,1303.2524285316467,8,True,True,ok
light_V0399_V_8s_2026_05_20-0024_flat_0p3_early_bias_cal.fits,2461181.6934636575,8.0,154.1960746016613,0.5388847240640882,198053.31138420105,1284.42511844635,8,True,True,ok
light_V0399_V_8s_2026_05_20-0025_flat_0p3_early_bias_cal.fits,2461181.6936555556,8.0,155.91604186695542,0.4538662228396109,225174.20056152344,1444.2016220092773,8,True,True,ok
