file,jd,exptime,diff_flux,diff_flux_err,target_flux_rate,comparison_ensemble_flux_rate,n_comparisons,registered,good,reject_reason
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,8.0,11220.669707028163,41.36641972890855,188007.79036712646,16.7554874420166,5,True,True,ok
light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,8.0,16617.215082960254,78.39439487940207,169939.37365722656,10.22670602798462,10,True,True,ok
light_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.6725682872,8.0,42635.996060104226,133.02820361011555,198252.70974731445,4.649890422821045,8,True,True,ok
light_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6727600694,8.0,28.682950012295603,0.13299753398796335,170249.80078125,5935.574991703033,4,True,True,ok
light_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6729527777,8.0,35675.833882068524,118.53545261492572,195226.19681549072,5.472225189208984,6,True,True,ok
light_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6731434027,8.0,26927.973752406,101.28399036776347,188454.54767608643,6.998467445373535,9,True,True,ok
light_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6733350693,8.0,27.569575817826905,0.08441502542424723,200988.49668884277,7290.22811293602,4,True,True,ok
light_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.6735259257,8.0,13861.887258613031,72.7203313236564,156232.16110992432,11.27062702178955,7,True,True,ok
light_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.6737177083,8.0,21086.443290525523,65.06666482366286,200525.34380340576,9.50968074798584,8,True,True,ok
light_V_8s_2026_05_20-0010_flat_0p3_late_bias_cal.fits,2461181.6739096064,8.0,737.9461092028973,2.9882326865145377,176289.25703430176,238.89177656173706,5,True,True,ok
light_V_8s_2026_05_20-0011_flat_0p3_late_bias_cal.fits,2461181.67410081,8.0,35440.66267988419,85.8106279618843,221924.2614517212,6.26185417175293,10,True,True,ok
light_V_8s_2026_05_20-0012_flat_0p3_late_bias_cal.fits,2461181.674292361,8.0,20964.697776306366,88.09933229292899,174590.44567871094,8.32783031463623,9,True,True,ok
light_V_8s_2026_05_20-0013_flat_0p3_late_bias_cal.fits,2461181.6744832178,8.0,713.8317865628061,2.63593964565879,187004.49365615845,261.97277450561523,5,True,True,ok
light_V_8s_2026_05_20-0014_flat_0p3_late_bias_cal.fits,2461181.674675,8.0,13988.04553468934,71.60592930760453,156422.44482421875,11.182580471038818,8,True,True,ok
light_V_8s_2026_05_20-0015_flat_0p3_late_bias_cal.fits,2461181.6748667825,8.0,15111.617028728917,68.68627643795648,170918.1307373047,11.310379981994629,7,True,True,ok
light_V_8s_2026_05_20-0016_flat_0p3_late_bias_cal.fits,2461181.675058449,8.0,1482.786130095955,5.5366977438301745,185470.78840637207,125.08262968063354,6,True,True,ok
light_V_8s_2026_05_20-0017_flat_0p3_late_bias_cal.fits,2461181.6752502313,8.0,14.092769500818733,0.042475458725391685,209430.39459228516,14860.840133666992,3,True,True,ok
light_V_8s_2026_05_20-0018_flat_0p3_late_bias_cal.fits,2461181.67544213,8.0,14125.53224202125,101.13181780991762,127894.95864868164,9.054169178009033,9,True,True,ok
light_V_8s_2026_05_20-0019_flat_0p3_late_bias_cal.fits,2461181.6756346063,8.0,21736.698217500158,55.83159595697928,219931.70593070984,10.117990493774414,9,True,True,ok
light_V_8s_2026_05_20-0020_flat_0p3_late_bias_cal.fits,2461181.6758256946,8.0,19995.746795103456,69.43265367031087,196556.83554077148,9.82993221282959,9,True,True,ok
light_V_8s_2026_05_20-0021_flat_0p3_late_bias_cal.fits,2461181.676017361,8.0,32488.591393874907,96.64474994101191,203771.92554092407,6.272107124328613,7,True,True,ok
light_V_8s_2026_05_20-0022_flat_0p3_late_bias_cal.fits,2461181.676209028,8.0,26364.666994471383,76.96480431506562,208552.97262573242,7.91032075881958,8,True,True,ok
light_V_8s_2026_05_20-0023_flat_0p3_late_bias_cal.fits,2461181.6764001157,8.0,13.95725736334844,0.036071975536232516,220583.2804965973,15804.199546813965,3,True,True,ok
light_V_8s_2026_05_20-0024_flat_0p3_late_bias_cal.fits,2461181.6765917824,8.0,103620.66849077285,526.8258790160371,158948.5138130188,1.5339460372924805,7,True,True,ok
