set,sequence,file,jd,diff_flux,check_diff_flux,n_comps,good,minutes_combined,diff_flux_norm,check_diff_flux_norm
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.672184375,200.74696004213322,294.5220652998573,3,True,0.0,1.0004623756170166,1.008529160193307
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,201.46876959337442,289.5965639074162,3,True,0.2771667391061783,1.0040596569817068,0.9916628117321414
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.6725682872,197.7899423672038,298.2966674620266,3,True,0.5528334528207779,0.9857254903003945,1.0214544951586202
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6727600694,197.14617701624272,292.238900879884,3,True,0.8289997279644012,0.9825171577197803,1.0007109415728632
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6729527777,203.56910675173285,297.6489430314568,3,True,1.10649973154068,1.0145271046711113,1.0192364984345574
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6731434027,194.4991850143171,285.77592055184886,3,True,1.3809996843338013,0.9693253469649379,0.9785798183378589
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6733350693,199.5411644374753,281.41115459157413,3,True,1.6569996625185013,0.994453053558583,0.9636335909851664
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.6735259257,201.91988794257057,295.69509528314927,3,True,1.931832879781723,1.0063078949387174,1.0125459558202377
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.6737177083,209.9181269672418,305.63047754156247,3,True,2.2079998254776,1.0461687088394402,1.0465675925864857
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0010_flat_0p3_late_bias_cal.fits,2461181.6739096064,201.13496772411676,286.59474317690433,3,True,2.4843330681324005,1.0023960890201655,0.9813837050128817
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0011_flat_0p3_late_bias_cal.fits,2461181.67410081,199.35916172624368,289.6022982815096,3,True,2.7596665173768997,0.9935460068724998,0.9916824478958454
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0012_flat_0p3_late_bias_cal.fits,2461181.674292361,196.64616935734867,283.19637871753713,3,True,3.0354995280504227,0.9800252701707043,0.9697467173028201
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0013_flat_0p3_late_bias_cal.fits,2461181.6744832178,200.45178503120596,297.09063776366605,3,True,3.310333415865898,0.9989913122813969,1.0173246989152813
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0014_flat_0p3_late_bias_cal.fits,2461181.674675,199.09571633024228,296.74755471427744,3,True,3.5864996910095215,0.992233074379407,1.016149882830367
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0015_flat_0p3_late_bias_cal.fits,2461181.6748667825,193.80832431202037,284.52894974852893,3,True,3.8626666367053986,0.9658823053403216,0.9743098278508051
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0016_flat_0p3_late_bias_cal.fits,2461181.675058449,196.75823189519286,291.41792749537274,3,True,4.138666614890099,0.9805837561014787,0.9978996900723035
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0017_flat_0p3_late_bias_cal.fits,2461181.6752502313,198.7536615403298,283.5512568076421,3,True,4.414832890033722,0.9905283763474407,0.970961923035607
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0018_flat_0p3_late_bias_cal.fits,2461181.67544213,201.75578651540647,297.15483726253,3,True,4.691166803240776,1.0054900628598242,1.0175445366602331
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0019_flat_0p3_late_bias_cal.fits,2461181.6756346063,193.81929293050774,284.49619428141284,3,True,4.968332871794701,0.9659369696306641,0.9741976636103816
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0020_flat_0p3_late_bias_cal.fits,2461181.6758256946,207.6077387544473,304.09188178629,3,True,5.2435000240802765,1.034654429970735,1.0412989934974426
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0021_flat_0p3_late_bias_cal.fits,2461181.676017361,198.65821383908434,288.12493952426024,3,True,5.5195000022649765,0.990052693757203,0.9866235420877661
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0022_flat_0p3_late_bias_cal.fits,2461181.676209028,203.52178573228082,290.82191147478375,3,True,5.7954999804496765,1.0142912709651977,0.9958587579740772
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0023_flat_0p3_late_bias_cal.fits,2461181.6764001157,201.70706127475083,298.01558063887023,3,True,6.070666462182999,1.0052472309384413,1.0204919721727423
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0024_flat_0p3_late_bias_cal.fits,2461181.6765917824,210.85391412792086,302.2935173412633,3,True,6.346666440367699,1.0508323901507208,1.0351408709078236
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0025_flat_0p3_late_bias_cal.fits,2461181.676783449,188.3040324254215,285.57780890286887,3,True,6.622666418552399,0.9384505726963982,0.9779014264667205
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0026_flat_0p3_late_bias_cal.fits,2461181.676976158,201.3334411515936,292.2034699724499,3,True,6.900167092680931,1.0033852207943585,1.0005896158471217
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0027_flat_0p3_late_bias_cal.fits,2461181.6771674766,198.90100710339385,291.8590974270005,3,True,7.1756661683321,0.991262702247214,0.9994103841528781
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0028_flat_0p3_late_bias_cal.fits,2461181.677359375,209.29627782868178,301.5960512176065,3,True,7.452000081539154,1.043069600059369,1.0327525441682337
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0029_flat_0p3_late_bias_cal.fits,2461181.677550463,200.33068780151453,298.6016798036563,3,True,7.727166563272476,0.9983878001680763,1.022498946074171
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0030_flat_0p3_late_bias_cal.fits,2461181.677741667,208.13565547756215,296.8629970484673,3,True,8.002500012516975,1.0372854078885305,1.0165451909382084
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0031_flat_0p3_late_bias_cal.fits,2461181.6779328706,202.15927242478307,295.8891685827911,3,True,8.277833461761475,1.0075009150856222,1.0132105192094167
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0032_flat_0p3_late_bias_cal.fits,2461181.6781244213,198.5626454277885,300.0237976805196,3,True,8.553666472434998,0.9895764095844368,1.0273686910509645
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0033_flat_0p3_late_bias_cal.fits,2461181.678316204,200.49487704796556,289.34094475392743,3,True,8.829833418130875,0.9992060699118407,0.9907874974498825
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0034_flat_0p3_late_bias_cal.fits,2461181.6785078705,195.60742930235196,288.6798779140509,3,True,9.105833396315575,0.9748485026477867,0.988523812438121
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0035_flat_0p3_late_bias_cal.fits,2461181.678699537,197.46415142314376,288.71270098848424,3,True,9.381833374500275,0.9841018463768183,0.9886362081856502
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0036_flat_0p3_late_bias_cal.fits,2461181.6788909724,202.52337058860033,292.8870314352013,3,True,9.657500088214874,1.0093154706527598,1.0029303289861096
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0037_flat_0p3_late_bias_cal.fits,2461181.67908206,198.12794288237978,290.5715098683249,3,True,9.932666569948196,0.9874099830483882,0.9950013100894309
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0038_flat_0p3_late_bias_cal.fits,2461181.6792738424,209.5761977432025,305.09993093208266,3,True,10.20883284509182,1.0444646365899604,1.0447508467818638
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0039_flat_0p3_late_bias_cal.fits,2461181.6794653935,200.84978543265134,,3,True,10.484666526317596,1.0009748263881262,
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0040_flat_0p3_late_bias_cal.fits,2461181.679657176,191.46027651086817,276.2059958536232,3,True,10.760833472013474,0.9541803424278571,0.9458096144850905
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0041_flat_0p3_late_bias_cal.fits,2461181.679848843,203.84262544968252,297.36197569509386,3,True,11.036833450198174,1.0158902394666218,1.018253838862174
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0042_flat_0p3_late_bias_cal.fits,2461181.6800405094,202.69871418877406,286.4786250301815,3,True,11.312833428382874,1.0101893303353287,0.9809860827264891
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0043_flat_0p3_late_bias_cal.fits,2461181.6802317128,204.20308914809172,298.88915847729146,3,True,11.588166207075119,1.017686681953016,1.0234833566140047
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0044_flat_0p3_late_bias_cal.fits,2461181.6804236113,202.0672561179581,289.65984932038714,3,True,11.864500120282173,1.007042333531499,0.9918795193812986
