file,minute,n_comps,diff_flux,target_rate,ensemble_rate,image_median,image_mad_sigma,ok_comp_ids,ok_comp_rates,bad_comp_flags
light_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,0.0,8,155.39028805351546,188007.7903671265,1209.906955718994,137.91458129882812,6.1739784027099605,"src5,src7,src4,src2,src1,src3,src6,src8","1209.2,936.5,1210.6,2040.9,3063.6,1363.6,1073.1,331.9",
light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,0.2771667391061783,8,162.0229607455306,169939.37365722656,1048.85982131958,134.79116821289062,6.105182830810547,"src5,src7,src4,src2,src1,src3,src6,src8","1036.3,842.9,1061.5,1785.3,2545.0,1169.5,903.8,288.6",
light_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,0.5528334528207779,8,155.44827746858402,198252.70974731445,1275.3612518310547,131.6830596923828,6.035595465087891,"src5,src7,src4,src2,src1,src3,src6,src8","1282.1,1020.2,1268.6,2106.8,3152.1,1386.1,1108.0,354.9",
light_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,0.8289997279644012,8,158.90399830693937,170249.80078125,1071.4003586769104,129.82606506347656,6.000699980163574,"src5,src7,src4,src2,src1,src3,src6,src8","1083.2,870.9,1059.6,1802.0,2594.8,1174.2,911.1,279.2",
light_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,1.10649973154068,8,154.29913783646234,195226.19681549072,1265.24489736557,126.0461196899414,5.91018663482666,"src5,src7,src4,src2,src1,src3,src6,src8","1245.1,951.8,1285.4,2053.3,3083.2,1346.3,1105.0,343.7",
light_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,1.3809996843338013,2,24796.95003545892,188454.54767608643,7.599908351898193,124.89289093017578,5.880347319030761,"src5,src4","7.5,7.7",src7:nonpositive_flux;src2:nonpositive_flux;src1:nonpositive_flux;src3:nonpositive_flux;src6:nonpositive_flux;src8:nonpositive_flux
light_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,1.6569996625185013,3,22089.54540494026,200988.49668884277,9.098806381225586,121.3681869506836,5.803452827453613,"src7,src4,src1","9.1,9.5,4.0",src5:nonpositive_flux;src2:nonpositive_flux;src3:nonpositive_flux;src6:nonpositive_flux;src8:nonpositive_flux
light_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,1.931832879781723,3,27854.984946660727,156232.16110992432,5.608768463134766,120.59471893310547,5.792526072692871,"src5,src3,src8","5.6,3.8,8.4",src7:nonpositive_flux;src4:nonpositive_flux;src2:nonpositive_flux;src1:nonpositive_flux;src6:nonpositive_flux
light_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2.2079998254776,5,22149.54386528207,200525.34380340576,9.05324935913086,118.439697265625,5.745075,"src5,src7,src4,src2,src8","12.8,7.4,9.1,1.9,11.4",src1:nonpositive_flux;src3:nonpositive_flux;src6:nonpositive_flux
light_V_8s_2026_05_20-0010_flat_0p3_late_bias_cal.fits,2.4843330681324005,3,64092.09294449397,176289.25703430176,2.7505617141723633,116.61619567871094,5.696594595336914,"src5,src2,src6","2.8,9.2,0.9",src7:nonpositive_flux;src4:nonpositive_flux;src1:nonpositive_flux;src3:nonpositive_flux;src8:nonpositive_flux
light_V_8s_2026_05_20-0011_flat_0p3_late_bias_cal.fits,2.7596665173768997,7,49388.95955584321,221924.2614517212,4.493398189544678,114.89956665039062,5.651145629882812,"src5,src7,src4,src1,src3,src6,src8","9.5,1.5,7.3,0.2,4.5,3.3,7.9",src2:nonpositive_flux
light_V_8s_2026_05_20-0012_flat_0p3_late_bias_cal.fits,3.0354995280504227,6,27605.80152861455,174590.44567871094,6.324411392211914,113.45196533203125,5.6257969161987305,"src5,src7,src4,src2,src1,src8","6.0,19.7,9.4,6.7,0.0,0.7",src3:nonpositive_flux;src6:nonpositive_flux
