raw_file,reduced_file,flat,exptime,jd,max_adu_raw,max_adu_cal
light_V0399_V_8s_2026_05_20-0001.fit,light_V0399_V_8s_2026_05_20-0001_flat_4s_masked_cal.fits,flat_4s_masked,8.0,2461181.689061574,49081.0,48111.932834351275
light_V0399_V_8s_2026_05_20-0002.fit,light_V0399_V_8s_2026_05_20-0002_flat_4s_masked_cal.fits,flat_4s_masked,8.0,2461181.689252662,49258.0,48495.84813779913
light_V0399_V_8s_2026_05_20-0003.fit,light_V0399_V_8s_2026_05_20-0003_flat_4s_masked_cal.fits,flat_4s_masked,8.0,2461181.68944375,47289.0,46537.31414162794
light_V0399_V_8s_2026_05_20-0004.fit,light_V0399_V_8s_2026_05_20-0004_flat_4s_masked_cal.fits,flat_4s_masked,8.0,2461181.6896349536,48882.0,48121.84672461459
light_V0399_V_8s_2026_05_20-0005.fit,light_V0399_V_8s_2026_05_20-0005_flat_4s_masked_cal.fits,flat_4s_masked,8.0,2461181.6898260415,46275.0,45709.9000622367
light_V0399_V_8s_2026_05_20-0006.fit,light_V0399_V_8s_2026_05_20-0006_flat_4s_masked_cal.fits,flat_4s_masked,8.0,2461181.6900171298,52584.0,52010.20284974574
light_V0399_V_8s_2026_05_20-0007.fit,light_V0399_V_8s_2026_05_20-0007_flat_4s_masked_cal.fits,flat_4s_masked,8.0,2461181.6902081016,52909.0,52064.8549116255
light_V0399_V_8s_2026_05_20-0008.fit,light_V0399_V_8s_2026_05_20-0008_flat_4s_masked_cal.fits,flat_4s_masked,8.0,2461181.690400463,53701.0,52556.38754608227
light_V0399_V_8s_2026_05_20-0009.fit,light_V0399_V_8s_2026_05_20-0009_flat_4s_masked_cal.fits,flat_4s_masked,8.0,2461181.690591667,45981.0,45146.26583449094
light_V0399_V_8s_2026_05_20-0010.fit,light_V0399_V_8s_2026_05_20-0010_flat_4s_masked_cal.fits,flat_4s_masked,8.0,2461181.690783102,51951.0,51151.15914559696
light_V0399_V_8s_2026_05_20-0011.fit,light_V0399_V_8s_2026_05_20-0011_flat_4s_masked_cal.fits,flat_4s_masked,8.0,2461181.690974884,42170.0,41658.72331247953
light_V0399_V_8s_2026_05_20-0012.fit,light_V0399_V_8s_2026_05_20-0012_flat_4s_masked_cal.fits,flat_4s_masked,8.0,2461181.691166551,50668.0,49992.35649547474
light_V0399_V_8s_2026_05_20-0013.fit,light_V0399_V_8s_2026_05_20-0013_flat_4s_masked_cal.fits,flat_4s_masked,8.0,2461181.6913577546,43390.0,42676.05171343119
light_V0399_V_8s_2026_05_20-0014.fit,light_V0399_V_8s_2026_05_20-0014_flat_4s_masked_cal.fits,flat_4s_masked,8.0,2461181.6915494213,52917.0,52198.82119570256
light_V0399_V_8s_2026_05_20-0015.fit,light_V0399_V_8s_2026_05_20-0015_flat_4s_masked_cal.fits,flat_4s_masked,8.0,2461181.6917408565,33747.0,33209.028536141035
light_V0399_V_8s_2026_05_20-0016.fit,light_V0399_V_8s_2026_05_20-0016_flat_4s_masked_cal.fits,flat_4s_masked,8.0,2461181.691932523,52377.0,51292.54649855932
light_V0399_V_8s_2026_05_20-0017.fit,light_V0399_V_8s_2026_05_20-0017_flat_4s_masked_cal.fits,flat_4s_masked,8.0,2461181.692123727,54026.0,53465.477121968026
light_V0399_V_8s_2026_05_20-0018.fit,light_V0399_V_8s_2026_05_20-0018_flat_4s_masked_cal.fits,flat_4s_masked,8.0,2461181.6923153936,55851.0,55250.58626318639
light_V0399_V_8s_2026_05_20-0019.fit,light_V0399_V_8s_2026_05_20-0019_flat_4s_masked_cal.fits,flat_4s_masked,8.0,2461181.6925069443,53423.0,52826.903388210936
