hjd,camera,mag,mag_err,flux,flux_err
2456991.01411,bd,12.842,0.02,28.008,0.515
2457402.87554,bd,12.725,0.02,31.19,0.574
2456797.75758,bd,12.659,0.02,33.142,0.61
2457389.02132,bd,12.865,0.02,27.414,0.504
2457790.05579,bd,12.797,0.02,29.195,0.537
2457108.77359,bd,12.818,0.02,28.62,0.527
2457318.10084,bd,12.734,0.02,30.918,0.569
2458055.11264,bd,12.48,0.02,39.069,0.719
2457781.06299,bd,12.869,0.02,27.299,0.502
2458429.07988,bd,12.627,0.02,34.128,0.628
2457407.85837,bd,12.77,0.02,29.909,0.55
2457472.8193,bd,12.621,0.02,34.312,0.631
2457788.86151,bd,12.822,0.02,28.507,0.525
2456932.14231,bd,12.642,0.02,33.667,0.619
2457365.9751,bd,12.836,0.02,28.146,0.518
2457843.91107,bd,12.873,0.02,27.204,0.501
2458056.08164,bd,12.892,0.02,26.735,0.492
2457445.9962,bd,12.426,0.02,41.058,0.755
2457030.99297,bd,12.863,0.02,27.465,0.505
2457879.7536,bd,12.81,0.02,28.839,0.531
2457430.88847,bd,12.787,0.02,29.442,0.542
2457043.96196,bd,12.848,0.02,27.841,0.512
2456642.95011,bd,12.869,0.02,27.312,0.503
2457395.02388,bd,12.655,0.02,33.255,0.612
2457399.88062,bd,12.62,0.02,34.345,0.632
2457702.10963,bd,12.847,0.02,27.864,0.513
2457077.93602,bd,12.647,0.02,33.495,0.616
2456931.14636,bd,12.631,0.02,33.996,0.626
2457359.0833,bd,12.859,0.02,27.563,0.507
2457758.90653,bd,12.773,0.02,29.83,0.549
2457412.05408,bd,12.602,0.02,34.909,0.642
2457416.03291,bd,12.79,0.02,29.364,0.54
2457144.82018,bd,12.857,0.02,27.605,0.508
2457361.00801,bd,12.599,0.02,35.02,0.644
2457772.04095,bd,12.615,0.02,34.506,0.635
2457777.85226,bd,12.801,0.02,29.075,0.535
2457449.88358,bd,12.704,0.02,31.783,0.585
2457889.772,bd,12.768,0.02,29.97,0.551
