hjd,camera,mag,mag_err,flux,flux_err
2457102.98458,bd,14.089,0.02465,8.882,0.201
2457409.96889,bd,14.146,0.02518,8.423,0.195
2458294.767,bd,14.196,0.02569,8.043,0.19
2457817.86662,bd,14.058,0.02438,9.132,0.205
2457548.84307,bd,14.062,0.02441,9.099,0.204
2458220.85531,bd,14.1,0.02475,8.788,0.2
2457783.99207,bd,14.098,0.02473,8.808,0.2
2457512.85934,bd,14.085,0.02461,8.912,0.202
2458284.8201,bd,14.105,0.02479,8.746,0.199
2457891.74119,bd,14.052,0.02433,9.188,0.206
2457374.08455,bd,14.09,0.02466,8.867,0.201
2457004.09222,bd,14.079,0.02456,8.957,0.202
2456783.86337,bd,14.073,0.0245,9.013,0.203
2457175.87229,bd,14.143,0.02515,8.449,0.196
2457900.88265,bd,14.055,0.02435,9.16,0.205
2457056.02085,bd,14.041,0.02423,9.275,0.207
2457492.75539,bd,14.089,0.02465,8.881,0.201
2457446.89428,bd,14.072,0.0245,9.015,0.203
2456784.84991,bd,14.065,0.02444,9.079,0.204
2457847.93535,bd,14.067,0.02445,9.059,0.204
2457550.82433,bd,14.076,0.02453,8.981,0.203
2457003.08885,bd,14.075,0.02452,8.992,0.203
2457177.85667,bd,14.079,0.02456,8.961,0.202
2457781.07006,bd,14.057,0.02437,9.144,0.205
2457819.85637,bd,14.08,0.02457,8.951,0.202
2457482.98683,bd,14.061,0.0244,9.107,0.204
2457774.02508,bd,14.063,0.02442,9.094,0.204
2457110.80997,bd,14.069,0.02447,9.041,0.204
2457000.10792,bd,14.058,0.02438,9.132,0.205
2457704.1501,bd,14.037,0.0242,9.311,0.207
2457451.06692,bd,14.062,0.02441,9.1,0.204
2457479.88749,bd,14.083,0.02459,8.928,0.202
2457529.86839,bd,14.105,0.02479,8.749,0.2
2457005.10076,bd,14.058,0.02438,9.138,0.205
2457898.88919,bd,14.074,0.02451,9.002,0.203
2456994.11662,bd,14.081,0.02458,8.947,0.202
2457424.96917,bd,14.097,0.02472,8.812,0.2
2457035.04965,bd,14.084,0.0246,8.92,0.202
2456828.79222,bd,14.054,0.02434,9.169,0.205
2457736.09476,bd,14.021,0.02407,9.452,0.209
2457920.82134,bd,14.068,0.02446,9.049,0.204
2457405.00447,bd,14.12,0.02493,8.629,0.198
2457941.77065,bd,14.065,0.02444,9.08,0.204
2457558.79418,bd,14.052,0.02433,9.184,0.206
2456701.87458,bd,13.991,0.02384,9.718,0.213
2457869.88557,bd,14.066,0.02444,9.067,0.204
2457380.06808,bd,14.116,0.02489,8.661,0.198
2458120.02432,bd,14.093,0.02468,8.843,0.201
2456826.78953,bd,14.065,0.02444,9.074,0.204
2458221.84006,bd,14.081,0.02458,8.946,0.202
2457499.85978,bd,14.082,0.02458,8.932,0.202
2458209.85133,bd,14.108,0.02482,8.722,0.199
2457937.77432,bd,14.078,0.02455,8.97,0.203
2457477.80571,bd,14.08,0.02457,8.954,0.202
2457787.0129,bd,14.071,0.02449,9.027,0.203
2456983.13003,bd,14.09,0.02466,8.87,0.201
2457350.13196,bd,14.122,0.02495,8.616,0.198
2458281.81,bd,14.1,0.02475,8.791,0.2
2457532.85816,bd,14.097,0.02472,8.813,0.2
2456781.77079,bd,14.037,0.0242,9.315,0.207
2457414.02745,bd,14.101,0.02476,8.784,0.2
2456619.14558,bd,14.054,0.02434,9.171,0.205
2458303.76374,bd,14.065,0.02444,9.074,0.204
2457818.8485,bd,14.082,0.02458,8.935,0.202
2457388.12096,bd,14.055,0.02435,9.162,0.205
2457877.77588,bd,14.055,0.02435,9.161,0.205
2457863.88036,bd,14.067,0.02445,9.063,0.204
2456987.14327,bd,14.078,0.02455,8.972,0.203
2456992.11619,bd,14.085,0.02461,8.912,0.202
2458121.04154,bd,14.108,0.02482,8.723,0.199
2457148.94503,bd,14.05,0.02431,9.204,0.206
2457752.04454,bd,14.085,0.02461,8.911,0.202
2457073.9885,bd,14.064,0.02443,9.084,0.204
2457504.80834,bd,14.067,0.02445,9.062,0.204
2457052.02999,bd,14.076,0.02453,8.987,0.203
2456972.14413,bd,14.073,0.0245,9.013,0.203
2457002.10313,bd,14.096,0.02471,8.821,0.201
2457047.02636,bd,14.054,0.02434,9.168,0.205
2457794.96256,bd,14.09,0.02466,8.873,0.201
2457436.90748,bd,14.086,0.02462,8.906,0.202
2457031.05911,bd,14.048,0.02429,9.221,0.206
2457407.97145,bd,14.089,0.02465,8.88,0.201
2457510.82846,bd,14.075,0.02452,8.991,0.203
2457899.74893,bd,14.009,0.02398,9.558,0.211
2457506.96173,bd,14.099,0.02474,8.798,0.2
2456810.74913,bd,14.037,0.0242,9.313,0.207
2458185.05688,bd,14.045,0.02427,9.242,0.206
2456985.14906,bd,14.089,0.02465,8.881,0.201
2456799.84587,bd,14.065,0.02444,9.077,0.204
2457849.79612,bd,14.04,0.02423,9.289,0.207
2458257.75299,bd,14.099,0.02474,8.793,0.2
2456741.06302,bd,14.043,0.02425,9.262,0.207
2458080.13999,bd,14.05,0.02431,9.2,0.206
2457050.02827,bd,14.058,0.02438,9.134,0.205
2458163.08958,bd,14.105,0.02479,8.751,0.2
2457399.05803,bd,14.109,0.02483,8.714,0.199
2456802.82693,bd,14.107,0.02481,8.732,0.199
2457914.83577,bd,14.061,0.0244,9.107,0.204
2457108.78587,bd,14.073,0.0245,9.008,0.203
2457526.86744,bd,14.121,0.02494,8.616,0.198
2457789.92682,bd,14.064,0.02443,9.087,0.204
2457164.90211,bd,14.092,0.02467,8.854,0.201
2457493.98548,bd,14.079,0.02456,8.964,0.203
2457099.99584,bd,14.085,0.02461,8.911,0.202
2457193.79635,bd,14.1,0.02475,8.792,0.2
2457793.14662,bd,14.063,0.02442,9.09,0.204
2457370.07916,bd,14.106,0.0248,8.736,0.199
2457391.03527,bd,14.063,0.02442,9.089,0.204
2457105.8947,bd,14.078,0.02455,8.97,0.203
2456770.87914,bd,14.077,0.02454,8.98,0.203
2457122.02379,bd,14.092,0.02467,8.853,0.201
2457069.99917,bd,14.032,0.02416,9.356,0.208
2457131.96774,bd,14.08,0.02457,8.95,0.202
2457475.86593,bd,14.088,0.02464,8.883,0.201
2458079.15587,bd,14.091,0.02466,8.864,0.201
2456830.79189,bd,14.088,0.02464,8.886,0.201
2457167.78453,bd,14.058,0.02438,9.137,0.205
2456998.10811,bd,14.04,0.02423,9.285,0.207
2456807.82972,bd,14.049,0.0243,9.208,0.206
2457839.05315,bd,14.07,0.02448,9.033,0.203
2457038.05086,bd,14.037,0.0242,9.314,0.207
2458110.05045,bd,14.094,0.02469,8.84,0.201
2457929.7903,bd,14.048,0.02429,9.219,0.206
2457195.78261,bd,14.125,0.02498,8.589,0.197
2457361.11097,bd,14.091,0.02466,8.864,0.201
2457746.05325,bd,14.049,0.0243,9.214,0.206
2458278.81043,bd,14.084,0.0246,8.915,0.202
2457825.97506,bd,14.056,0.02436,9.153,0.205
2457843.88756,bd,14.05,0.02431,9.207,0.206
2457442.94333,bd,14.074,0.02451,9.0,0.203
2458449.11992,bd,14.008,0.02397,9.563,0.211
2457172.83937,bd,14.085,0.02461,8.912,0.202
2456818.8123,bd,14.079,0.02456,8.961,0.202
2457419.04484,bd,14.103,0.02477,8.765,0.2
2456649.0106,bd,14.068,0.02446,9.048,0.204
2457840.98973,bd,14.055,0.02435,9.156,0.205
2457851.92708,bd,14.082,0.02458,8.932,0.202
2457138.78549,bd,14.094,0.02469,8.839,0.201
2457417.00234,bd,14.113,0.02487,8.681,0.199
2457402.03333,bd,14.102,0.02476,8.769,0.2
2458206.81144,bd,14.068,0.02446,9.05,0.204
2457083.97872,bd,14.07,0.02448,9.038,0.204
2457134.8026,bd,14.085,0.02461,8.907,0.202
2456677.02291,bd,14.062,0.02441,9.1,0.204
2457854.85684,bd,14.004,0.02394,9.598,0.211
2457128.93441,bd,14.098,0.02473,8.801,0.2
2457464.00177,bd,14.102,0.02476,8.77,0.2
2457907.76061,bd,14.027,0.02412,9.397,0.209
2457021.12635,bd,14.048,0.02429,9.222,0.206
2457065.00354,bd,14.046,0.02427,9.241,0.206
2457153.75009,bd,14.11,0.02484,8.708,0.199
2457858.97021,bd,14.061,0.0244,9.111,0.205
2457364.11903,bd,14.088,0.02464,8.884,0.201
2458309.74755,bd,14.12,0.02493,8.625,0.198
2457832.00627,bd,14.075,0.02452,8.992,0.203
2457472.95034,bd,14.059,0.02438,9.129,0.205
2457467.83202,bd,14.122,0.02495,8.614,0.198
2457778.08132,bd,14.018,0.02405,9.479,0.21
2457036.05323,bd,14.106,0.0248,8.739,0.199
2457462.81432,bd,14.076,0.02453,8.986,0.203
2458442.14939,bd,14.02,0.02406,9.457,0.209
2457421.06447,bd,14.1,0.02475,8.789,0.2
2457429.01469,bd,14.073,0.0245,9.006,0.203
2457565.78706,bd,14.085,0.02461,8.908,0.202
2457077.90182,bd,14.081,0.02458,8.948,0.202
2457578.75152,bd,14.095,0.0247,8.827,0.201
2457044.03384,bd,14.06,0.02439,9.119,0.205
2457092.09759,bd,14.076,0.02453,8.989,0.203
2457095.94384,bd,14.096,0.02471,8.82,0.2
2457098.81681,bd,14.028,0.02413,9.389,0.208
2458273.75343,bd,14.093,0.02468,8.847,0.201
2458285.80425,bd,14.048,0.02429,9.218,0.206
2457711.13967,bd,14.046,0.02427,9.233,0.206
2457206.76807,bd,14.103,0.02477,8.762,0.2
2457178.76964,bd,14.064,0.02443,9.087,0.204
2457071.99627,bd,14.054,0.02434,9.172,0.205
2457758.01718,bd,14.066,0.02444,9.069,0.204
2457054.0228,bd,14.039,0.02422,9.3,0.207
2457763.0049,bd,14.085,0.02461,8.912,0.202
2458298.78822,bd,14.109,0.02483,8.716,0.199
2458431.14926,bd,14.024,0.0241,9.425,0.209
2457830.08152,bd,14.068,0.02446,9.05,0.204
2456823.84979,bd,14.088,0.02464,8.884,0.201
2457448.98309,bd,14.08,0.02457,8.954,0.202
2456819.81723,bd,14.06,0.02439,9.121,0.205
2457816.97293,bd,14.081,0.02458,8.946,0.202
2457868.74262,bd,14.042,0.02424,9.274,0.207
2458159.08707,bd,14.078,0.02455,8.966,0.202
2457806.01167,bd,14.042,0.02424,9.271,0.207
2457799.07725,bd,14.083,0.02459,8.927,0.202
2457502.89502,bd,14.041,0.02423,9.275,0.207
2458233.8173,bd,14.078,0.02455,8.965,0.202
2457156.90986,bd,14.091,0.02466,8.863,0.201
2457199.79682,bd,14.135,0.02507,8.511,0.196
2457892.91138,bd,14.037,0.0242,9.309,0.207
2457520.87948,bd,14.076,0.02453,8.986,0.203
2456616.15147,bd,14.064,0.02443,9.087,0.204
2456652.07499,bd,14.054,0.02434,9.166,0.205
2456816.8032,bd,14.073,0.0245,9.01,0.203
2457103.90114,bd,14.106,0.0248,8.744,0.2
2457384.03954,bd,14.076,0.02453,8.983,0.203
2457397.05324,bd,14.125,0.02498,8.585,0.197
2457458.07223,bd,14.069,0.02447,9.043,0.204
2457439.00684,bd,14.085,0.02461,8.911,0.202
2458185.86336,bd,14.075,0.02452,8.993,0.203
2457529.86964,bd,14.113,0.02487,8.682,0.199
2457507.92337,bd,14.071,0.02449,9.026,0.203
2457395.09761,bd,14.105,0.02479,8.749,0.2
2457041.03504,bd,14.02,0.02406,9.457,0.209
2457452.01015,bd,14.086,0.02462,8.899,0.202
2457802.05595,bd,14.042,0.02424,9.269,0.207
2457423.00491,bd,14.097,0.02472,8.812,0.2
2457182.77084,bd,14.073,0.0245,9.011,0.203
2457764.00864,bd,14.021,0.02407,9.45,0.209
2457125.91102,bd,14.09,0.02466,8.866,0.201
2458194.92413,bd,14.08,0.02457,8.953,0.202
2457772.04749,bd,14.031,0.02415,9.369,0.208
2457411.05622,bd,14.113,0.02487,8.68,0.199
2457454.83896,bd,14.093,0.02468,8.849,0.201
2458290.77954,bd,14.079,0.02456,8.963,0.202
2457845.7605,bd,14.04,0.02423,9.284,0.207
2457440.88501,bd,14.084,0.0246,8.92,0.202
2457768.03761,bd,14.032,0.02416,9.355,0.208
2457488.88433,bd,14.064,0.02443,9.083,0.204
2457910.85459,bd,14.082,0.02458,8.939,0.202
2458432.14509,bd,14.042,0.02424,9.271,0.207
2457544.86036,bd,14.095,0.0247,8.832,0.201
2456989.1091,bd,14.055,0.02435,9.158,0.205
2457574.75965,bd,14.097,0.02472,8.809,0.2
